sentence_id,doc_id,sent_idx,sentence,start_char,end_char,length,cleaned_version,created_at
doc_7ceb_sent_00017,doc_7ceb,17,"USUSP
Suspended by user.",1540,1565,24,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00018,doc_7ceb,18,"SSUSP
Suspended by the LSF system.
POST_DONE
Post-processing completed without errors.",1565,1652,86,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00019,doc_7ceb,19,"POST_ERR
Post-processing completed with errors.",1652,1700,47,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00020,doc_7ceb,20,"UNKWN
The mbatchd daemon lost contact with the sbatchd daemon on the host where the job runs.",1700,1794,93,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00021,doc_7ceb,21,For jobs submitted to a chunk job queue,1799,1838,39,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00022,doc_7ceb,22,", members of a chunk job that are waiting to run.
ZOMBI
A job is in ZOMBI state if the job is killed when its state is UNKWN since the execution host is unreachable, or if a re-runnable job is requeued
since the execution host is unavailable.",1838,2081,242,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00023,doc_7ceb,23,"A job can be in ZOMBI state, if:
A job in UNKWN status gets a kill signal, LSF will change the job to ZOMBI state.",2081,2195,114,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00024,doc_7ceb,24,"For instance, running the bkill command to kill a job in
UNKWN state, a re-runnable job is requeued when the execution host is unavailable, or the mbatchd daemon killing the UNKWN job when
the REMOVE_HUNG_JOBS_FOR parameter is set in the lsb.params ﬁle. (See Removing hung jobs from LSF for details about
REMOVE_HUNG_JOBS_FOR.)",2196,2524,327,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00025,doc_7ceb,25,"You force remove a job from LSF (that is, run the bkill -r command on a running job), the mbatchd daemon will ﬁrst change the job
status to ZOMBI state and also send a signal to the sbatchd daemon for the job's execution host.",2524,2750,226,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00026,doc_7ceb,26,"After sbatchd successfully kills the
job processes, it sends a reply back to mbatchd; mbatchd can then change the job's status from ZOMBI to EXIT.",2751,2897,146,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00027,doc_7ceb,27,"In typical cases, this
procedure would not take long.",2898,2952,53,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00028,doc_7ceb,28,"Host
An LSF host is an individual computer in the cluster.",2952,3011,58,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00029,doc_7ceb,29,Each host might have more than one processor.,3011,3056,45,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00030,doc_7ceb,30,Multiprocessor hosts are used to run parallel jobs.,3057,3108,51,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00031,doc_7ceb,31,"A multiprocessor host with a single process queue
is considered a single machine. A box full of processors that each have their own process queue is treated as a group of separate machines.",3109,3299,189,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00032,doc_7ceb,32,The names of your hosts should be unique.,3304,3345,41,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00033,doc_7ceb,33,They cannot be the same as the cluster name or any queue that is deﬁned for the cluster.,3346,3435,88,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00034,doc_7ceb,34,"Job
An LSF job is a unit of work that runs in the LSF system.",3435,3497,61,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00035,doc_7ceb,35,"A job is a command that is submitted to LSF for execution, by using the bsub command.",3497,3582,85,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00036,doc_7ceb,36,"LSF schedules, controls, and tracks the job according to
conﬁgured policies.",3583,3660,76,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00037,doc_7ceb,37,"Jobs can be complex problems, simulation scenarios, extensive calculations, anything that needs compute power.",3660,3771,110,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00038,doc_7ceb,38,"Job ﬁles
When a job is submitted to a queue, LSF holds it in a job ﬁle until conditions are right for it run.",3771,3880,109,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00039,doc_7ceb,39,"Then, the job ﬁle is used to run the job.",3881,3923,41,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00040,doc_7ceb,40,"On UNIX, the job ﬁle is a Bourne shell script that is run at execution time.",3923,4000,76,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00041,doc_7ceb,41,"On Windows, the job ﬁle is a batch ﬁle that is processed at execution time.",4000,4076,75,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00042,doc_7ceb,42,"Interactive batch job
An interactive batch job is a batch job that allows you to interact with the application and still take advantage of LSF scheduling policies and fault
tolerance.",4076,4260,183,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00043,doc_7ceb,43,All input and output are through the terminal that you used to type the job submission command.,4260,4356,95,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00044,doc_7ceb,44,"When you submit an interactive job, a message is displayed while the job is awaiting scheduling.",4356,4452,96,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00045,doc_7ceb,45,"A new job cannot be submitted until the interactive
job is completed or terminated.",4453,4537,83,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00046,doc_7ceb,46,"Interactive task
An interactive task is a command that is not submitted to a batch queue and scheduled by LSF, but is dispatched immediately.",4537,4679,141,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00047,doc_7ceb,47,"LSF locates the resources that are needed by the task and chooses the best host among the candidate hosts that has the required resources and is
lightly loaded.",4679,4839,160,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00048,doc_7ceb,48,"Each command can be a single process, or it can be a group of cooperating processes.",4840,4925,84,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00049,doc_7ceb,49,"Tasks are run without using the batch processing features of LSF but still with the advantage of resource requirements and selection of the best host
to run the task based on load.",4925,5106,180,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00050,doc_7ceb,50,"Local task
A local task is an application or command that does not make sense to run remotely.",5106,5201,94,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00051,doc_7ceb,51,"For example, the ls command on UNIX.",5201,5238,36,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00052,doc_7ceb,52,"Remote task
A remote task is an application or command that that can be run on another machine in the cluster.",5238,5349,110,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00053,doc_7ceb,53,"Host types and host models
Hosts in LSF are characterized by host type and host model.",5349,5436,86,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00054,doc_7ceb,54,"The following example is a host with type X86_64, with host models Opteron240, Opteron840, Intel_EM64T, and so on.",5436,5551,114,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00055,doc_7ceb,55,"Host type
An LSF host type is the combination of operating system and host CPU architecture.",5551,5644,92,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00056,doc_7ceb,56,All computers that run the same operating system on the same computer architecture are of the same type.,5644,5748,104,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00057,doc_7ceb,57,"These hosts are binary-compatible with
each other.",5749,5800,50,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00058,doc_7ceb,58,Each host type usually requires a different set of LSF binary ﬁles.,5800,5868,67,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00059,doc_7ceb,59,"Host model
An LSF host model is the host type of the computer, which determines the CPU speed scaling factor that is applied in load and placement
calculations.",5868,6029,160,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00060,doc_7ceb,60,The CPU factor is considered when jobs are being dispatched.,6029,6090,60,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00061,doc_7ceb,61,"Resources
LSF resources are objects in the LSF system resources that LSF uses track job requirements and schedule jobs according to their availability on
individual hosts.",6090,6262,171,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00062,doc_7ceb,62,"Resource usage
The LSF system uses built-in and conﬁgured resources to track resource availability and usage.",6262,6371,109,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00063,doc_7ceb,63,"Jobs are scheduled according to the resources
available on individual hosts.",6372,6449,76,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00064,doc_7ceb,64,Jobs that are submitted through the LSF system will have the resources that they use monitored while they are running.,6449,6567,118,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00065,doc_7ceb,65,"This information is used to
enforce resource limits and load thresholds as well as fair share scheduling.",6568,6674,105,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00066,doc_7ceb,66,"LSF collects the following kinds of information:
Total CPU time that is consumed by all processes in the job
Total resident memory usage in KB of all currently running processes in a job
Total virtual memory usage in KB of all currently running processes in a job
Currently active process group ID in a job
Currently active processes in a job
On UNIX and Linux, job-level resource usage is collected through PIM.",6674,7087,412,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00067,doc_7ceb,67,"Load indices
Load indices measure the availability of dynamic, non-shared resources on hosts in the cluster.",7087,7195,108,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00068,doc_7ceb,68,"Load indices that are built into the LIM are updated at
ﬁxed time intervals.",7196,7273,76,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00069,doc_7ceb,69,"External load indices
Deﬁned and conﬁgured by the LSF administrator and collected by an External Load Information Manager (ELIM) program.",7273,7410,137,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00070,doc_7ceb,70,"The ELIM also updates
LIM when new values are received.",7411,7467,55,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00071,doc_7ceb,71,"Static resources
Built-in resources that represent host information that does not change over time, such as the maximum RAM available to user processes or the
number of processors in a machine.",7467,7660,193,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00072,doc_7ceb,72,Most static resources are determined by the LIM at startup time.,7661,7726,64,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00073,doc_7ceb,73,"Static resources can be used to select appropriate hosts for particular jobs that are based on binary architecture, relative CPU speed, and system
conﬁguration.",7726,7887,160,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00074,doc_7ceb,74,"Load thresholds
Two types of load thresholds can be conﬁgured by your LSF administrator to schedule jobs in queues. Each load threshold speciﬁes a load index
value:",7887,8052,164,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00075,doc_7ceb,75,The loadSched load threshold determines the load condition for dispatching pending jobs.,8052,8140,88,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00076,doc_7ceb,76,"If a host’s load is beyond any deﬁned loadSched,
a job cannot be started on the host.",8141,8226,85,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00077,doc_7ceb,77,This threshold is also used as the condition for resuming suspended jobs.,8227,8301,73,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00078,doc_7ceb,78,The loadStop load threshold determines when running jobs can be suspended.,8301,8376,74,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00079,doc_7ceb,79,"To schedule a job on a host, the load levels on that host must satisfy both the thresholds that are conﬁgured for that host and the thresholds for the
queue from which the job is being dispatched.",8376,8573,196,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00080,doc_7ceb,80,"The value of a load index might either increase or decrease with load, depending on the meaning of the speciﬁc load index.",8573,8695,122,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00081,doc_7ceb,81,"Therefore, when you
compare the host load conditions with the threshold values, you need to use either greater than (>) or less than (<), depending on the load index.",8696,8863,166,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00082,doc_7ceb,82,"Runtime resource usage limits
Limit the use of resources while a job is running.",8863,8943,80,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00083,doc_7ceb,83,Jobs that consume more than the speciﬁed amount of a resource are signaled.,8944,9020,75,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00084,doc_7ceb,84,"Hard and soft limits
Resource limits that are speciﬁed at the queue level are hard limits while limits that are speciﬁed with job submission are soft limits.",9020,9178,157,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00085,doc_7ceb,85,"Resource allocation limits
Restrict the amount of a resource that must be available during job scheduling for different classes of jobs to start, and which resource consumers
the limits apply to.",9178,9373,195,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00086,doc_7ceb,86,"If all of the resource is consumed, no more jobs can be started until some of the resource is released.",9374,9478,103,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00087,doc_7ceb,87,Resource requirements (bsub -R command option),9478,9525,46,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00088,doc_7ceb,88,"The bsub -R option speciﬁes resources requirements for the job. Resource requirements restrict which hosts the job can run on. Hosts that match
the resource requirements are the candidate hosts.",9525,9719,194,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00089,doc_7ceb,89,"When LSF schedules a job, it collects the load index values of all the candidate hosts and
compares them to the scheduling conditions.",9720,9854,134,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00090,doc_7ceb,90,Jobs are only dispatched to a host if all load values are within the scheduling thresholds.,9855,9947,91,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00091,doc_7ceb,91,"Cluster characteristics
Find the name of your cluster after installation, cluster administrators, and where hosts are deﬁned.",9947,10073,125,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00092,doc_7ceb,92,"Cluster name and administrators
Your cluster is installed according to the installation options speciﬁed by the lsﬁnstall -f install.conﬁg command and the options you chose in the
install.conﬁg ﬁle.",10073,10271,198,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00093,doc_7ceb,93,The cluster name that you speciﬁed at installation is part of the name of the LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.,10272,10392,119,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00094,doc_7ceb,94,"/usr/share/lsf/lsf_10/conf/lsf.cluster.lsf_10
Cluster administrators are listed in the ClusterAdmins section of the LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.",10392,10550,157,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00095,doc_7ceb,95,"LSF hosts
Host types that are installed in your cluster are listed in the Hosts section of the LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.",10550,10687,136,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00096,doc_7ceb,96,The LSF management host is the ﬁrst host that is conﬁgured in the Hosts section of LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.,10687,10812,124,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00097,doc_7ceb,97,"LSF server hosts that are deﬁned in your cluster are indicated by 1 in the server column of the Hosts section in the
LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.",10812,10971,158,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00098,doc_7ceb,98,"LSF client-only hosts that are deﬁned in your cluster are indicated by 0 in the server column of the Hosts section in the
LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.",10971,11135,163,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00099,doc_7ceb,99,"File systems, directories, and ﬁles
LSF is designed for networks where all hosts have shared ﬁle systems, and ﬁles have the same names on all hosts.",11135,11284,148,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00100,doc_7ceb,100,"LSF includes support for copying user data to the execution host before a batch job runs, and for copying results back after the job runs.",11284,11423,138,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00101,doc_7ceb,101,"In networks where the ﬁle systems are not shared, this support can be used to give remote jobs access to local data.",11423,11540,116,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00102,doc_7ceb,102,"Supported ﬁle systems
UNIX
On UNIX systems, LSF supports the following shared ﬁle systems:
Network File System (NFS)
NFS ﬁle systems can be mounted permanently or on demand by using the automount command.",11540,11745,204,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00103,doc_7ceb,103,"Andrew File System (AFS)
Supported on an on-demand basis under the parameters of the 9.1.2 integration with some published conﬁguration parameters.",11745,11893,147,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00104,doc_7ceb,104,"Supports sequential and parallel user jobs that access AFS, JOB_SPOOL_DIR on AFS, and job output and error ﬁles on AFS.",11893,12013,119,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00105,doc_7ceb,105,Distributed File System (DCE/DFS),12013,12047,33,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00106,doc_7ceb,106,Supported on an on-demand basis.,12047,12080,32,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00107,doc_7ceb,107,"Windows
On Windows, directories that contain LSF ﬁles can be shared among hosts from a Windows server machine.",12080,12191,110,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00108,doc_7ceb,108,"Non-shared directories and ﬁles
LSF is used in networks with shared ﬁle space.",12191,12269,78,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00109,doc_7ceb,109,"When shared ﬁle space is not available, LSF can copy needed ﬁles to the execution host before the job
runs, and copy result ﬁles back to the submission host after the job completes.",12270,12452,181,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00110,doc_7ceb,110,Some networks do not share ﬁles between hosts.,12452,12498,46,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00111,doc_7ceb,111,"LSF can still be used on these networks, with reduced fault tolerance.",12499,12570,70,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00112,doc_7ceb,112,"Example directory structures
 The following ﬁgures show typical directory structures for a new installation on UNIX and Linux or on Microsoft Windows. Depending on which
products you installed and platforms you selected, your directory structure might be different.",12570,12836,265,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00113,doc_7ceb,113,"Example directory structures
The following ﬁgures show typical directory structures for a new installation on UNIX and Linux or on Microsoft Windows. Depending on which
products you installed and platforms you selected, your directory structure might be different.",12836,13101,264,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00114,doc_7ceb,114,"UNIX and Linux
 The following ﬁgure shows a typical directory structure for a new UNIX or Linux installation with the lsﬁnstall command.",13101,13238,136,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00115,doc_7ceb,115,"Microsoft Windows directory structure
 The following ﬁgure shows a typical directory structure for a new Windows installation.",13238,13365,126,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00116,doc_7ceb,116,"UNIX and Linux
The following ﬁgure shows a typical directory structure for a new UNIX or Linux installation with the lsﬁnstall command.",13365,13501,135,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00117,doc_7ceb,117,"Microsoft Windows directory structure
The following ﬁgure shows a typical directory structure for a new Windows installation.",13501,13627,125,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00118,doc_7ceb,118,"Important directories and conﬁguration ﬁles
LSF conﬁguration is administered through several conﬁguration ﬁles, which you use to modify the behavior of your cluster.",13627,13793,165,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00119,doc_7ceb,119,"Four important LSF conﬁguration ﬁles
The following are the four most important ﬁles you work with most often:
LSF_CONFDIR/lsf.conf
LSF_CONFDIR/lsf.cluster.cluster_name
LSF_CONFDIR/lsf.shared
LSB_CONFDIR/cluster_name/conﬁgdir/lsb.queues
These ﬁles are created during product installation according to the options you speciﬁed in the install.conﬁg ﬁle.",13793,14143,350,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00120,doc_7ceb,120,"After installation, you can change
the conﬁguration parameters in these ﬁles to suit the needs of your site.",14144,14253,108,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00121,doc_7ceb,121,"Who owns these ﬁles
Except for LSF_CONFDIR/lsf.conf, which is owned by root, all of these ﬁles are owned by the primary LSF administrator, and readable by all
cluster users.",14253,14427,173,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00122,doc_7ceb,122,"lsf.conf
The most important ﬁle in LSF.",14427,14466,39,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00123,doc_7ceb,123,"It contains the paths to the conﬁguration directories, log directories, libraries, and other global conﬁguration
information.",14467,14592,125,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00124,doc_7ceb,124,The location of the lsf.conf ﬁle is deﬁned by the LSF_ENVDIR variable.,14593,14663,70,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00125,doc_7ceb,125,"If LSF cannot ﬁnd this ﬁle, it cannot start properly.",14664,14718,53,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00126,doc_7ceb,126,"By default, LSF checks the directory that is deﬁned by the LSF_ENVDIR parameter for the location of the lsf.conf ﬁle.",14718,14835,117,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00127,doc_7ceb,127,"If the lsf.conf ﬁle is not in
LSF_ENVDIR, LSF looks for it in the /etc directory.",14836,14918,81,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00128,doc_7ceb,128,"lsf.cluster.cluster_name
Deﬁnes the host names, models, and types of all of the hosts in the cluster.",14918,15019,101,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00129,doc_7ceb,129,"It also deﬁnes the user names of the LSF administrators, and the
locations of different shared resources for one cluster.",15020,15142,121,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00130,doc_7ceb,130,"lsf.shared
This ﬁle is like a dictionary that deﬁnes all the keywords that are used by the cluster.",15142,15241,99,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00131,doc_7ceb,131,"You can add your own keywords to specify the names of
resources or host types.",15242,15321,78,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00132,doc_7ceb,132,"lsb.queues
Deﬁnes the workload queues and their parameters for one cluster.",15321,15397,75,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00133,doc_7ceb,133,"LSF cluster conﬁguration ﬁles
The following ﬁles are owned by the primary LSF administrator and are readable by all cluster users:",16767,16898,130,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00134,doc_7ceb,134,"File Example
Global conﬁguration ﬁles, which describe the conﬁguration and operation of the cluster /usr/share/lsf/cluster1/conf/ego/cluster1/
kernel/ego.conf
/usr/share/lsf/cluster1/conf/lsf.conf
Keyword deﬁnition ﬁle that is shared by all clusters. Deﬁnes cluster name, host types, host
models, and site-speciﬁc resources/usr/share/lsf/cluster1/conf/lsf.shared
Cluster conﬁguration ﬁle that deﬁnes hosts, administrators, and location of site-deﬁned shared
resources/usr/share/lsf/cluster1/conf/lsf.cluster.cluster1
LSF batch workload system conﬁguration ﬁles
The following ﬁles are owned by the primary LSF administrator and are readable by all cluster users:",16898,17560,661,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00135,doc_7ceb,135,"File Example
Server hosts and their attributes, such as scheduling load thresholds, dispatch windows, and job slot limits.",17560,17682,122,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00136,doc_7ceb,136,"Also used to
conﬁgure account mappings for the LSF multicluster capability./usr/share/lsf/cluste
r1/conf/lsbatch/clus
ter1/conﬁgdir/lsb.us
ers
Application proﬁles, which contain common parameters for the same type of jobs, including the execution requirements of
the applications, the resources they require, and how they are run and managed. This ﬁle is optional. Use the
DEFAULT_APPLICATION parameter in the lsb.params ﬁle to specify a default application proﬁle for all jobs.",18601,19079,478,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00137,doc_7ceb,137,"LSF does not
automatically assign a default application proﬁle./usr/share/lsf/cluste
r1/conf/lsbatch/clus
ter1/conﬁgdir/lsb.ap
plicatons
LSF batch log ﬁles
File Example
Batch events log /usr/share/lsf/cluster1/work/ cluster1/logdir/lsb.events
Batch accounting log/usr/share/lsf/cluster1/work/ cluster1/logdir/lsb.acct
Daemon log ﬁles
LSF server daemon log ﬁles are stored in the directory that is speciﬁed by LSF_LOGDIR in LSF_CONFDIR/lsf.conf.",19080,19525,444,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00138,doc_7ceb,138,"File Example
Load information manager (lim) /usr/share/lsf/cluster1/log/lim.log.hosta
Remote execution server (res) /usr/share/lsf/cluster1/log/res.log.hosta
Management batch daemon (mbatchd) /usr/share/lsf/cluster1/log/ mbatchd.log.hosta
Management scheduler daemon (mbschd)/usr/share/lsf/cluster1/log/mbschd.log.hosta
Server batch daemon (sbatchd) /usr/share/lsf/cluster1/log/sbatchd.log.hosta
process information manager (pim) /usr/share/lsf/cluster1/log/ pim.log.hosta
Who owns and who should write to LSF_LOGDIR
Note: Make sure that the primary LSF administrator owns the LSF log directory (LSF_LOGDIR parameter), and that root can write to this directory. If
an LSF server cannot write to LSF_LOGDIR parameter, the error logs are created in /tmp.",19525,20278,752,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00139,doc_7ceb,139,"Where to go next
Use your new IBM® Spectrum LSF cluster, described in Work with LSF.
Work with LSF
Start and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs.",20278,20478,199,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00140,doc_7ceb,140,"Start, stop, and reconﬁgure LSF
 Use LSF administration commands lsadmin and badmin to start and stop LSF daemons, and reconﬁgure cluster properties.",20478,20628,149,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00141,doc_7ceb,141,"Check LSF status
 Use LSF administration commands to check cluster conﬁguration, see cluster status, and LSF batch workload system conﬁguration and status.",20628,20784,155,1,2026-01-26T12:31:03Z
