id,src_rowid,child,parent,method,src_confidence,src_evidence,llm_child_is_class,llm_parent_is_class,llm_is_a_valid,llm_accept,llm_best_parent,llm_confidence,llm_reason,llm_evidence_sentence,candidates_json,evidence_json,raw_llm_json,created_at
11,11,lib slurm,slurm,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""slurm"", ""lsf"", ""daemon"", ""command"", ""host"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
12,12,license available lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
13,13,license lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
14,14,license use lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
15,15,lsadmin badmin command,command,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""command"", ""lsf"", ""daemon"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
16,16,lsf client host,host,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""host"", ""lsf"", ""daemon"", ""command"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
17,17,lsf client lim,lim,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"About this task
If the /etc/hosts ﬁle on the host where the management host LIM is running is conﬁgured with the host name that is assigned to the loopback IP
address (127.0.0.1), LSF client LIM cannot contact the manage","[""lim"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""resource"", ""plugin"", ""none""]","[""About this task\nIf the /etc/hosts ﬁle on the host where the management host LIM is running is conﬁgured with the host name that is assigned to the loopback IP\naddress (127.0.0.1), LSF client LIM cannot contact the management host LIM.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
18,18,lsf command,command,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Use the following commands to start the LSF cluster:
# bctrld start lim
# bctrld start res
# bctrld start sbd
Before you use any LSF commands, wait a few minutes for the lim daemon all hosts to do the following operation","[""command"", ""lsf"", ""daemon"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""Use the following commands to start the LSF cluster:\n# bctrld start lim\n# bctrld start res\n# bctrld start sbd\nBefore you use any LSF commands, wait a few minutes for the lim daemon all hosts to do the following operations:\nContact each other\nSelect the management host\nExchange initialization information\nStopping your cluster\nUse the lsadmin and badmin commands to stop the LSF daemons."", ""Example command output\nThe LSF commands that are shown in this section show examples of typical output.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
19,19,lsf daemon,daemon,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Work with LSF
 Start and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs.","[""daemon"", ""lsf"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""Work with LSF\n Start and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs."", ""Where to go next\nUse your new IBM® Spectrum LSF cluster, described in Work with LSF.\nWork with LSF\nStart and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
20,20,lsf environment,environment,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Setting up the LSF environment with cshrc.lsf and proﬁle.lsf
 Before you use LSF, you must set up the LSF execution environment with the cshrc.lsf or proﬁle.lsf ﬁle.","[""environment"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""Setting up the LSF environment with cshrc.lsf and proﬁle.lsf\n Before you use LSF, you must set up the LSF execution environment with the cshrc.lsf or proﬁle.lsf ﬁle."", ""LSF Cluster Management and Operations\nSetting up the LSF environment with cshrc.lsf and proﬁle.lsf\nBefore you use LSF, you must set up the LSF execution environment with the cshrc.lsf or proﬁle.lsf ﬁle.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
21,21,lsf following command,command,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""command"", ""lsf"", ""daemon"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
22,22,lsf host,host,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Host
An LSF host is an individual computer in the cluster.","[""host"", ""lsf"", ""daemon"", ""command"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""Host\nAn LSF host is an individual computer in the cluster."", ""Host type\nAn LSF host type is the combination of operating system and host CPU architecture.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
23,23,lsf job,job,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Work with LSF
 Start and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs.","[""job"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""Work with LSF\n Start and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs."", ""Job states\nIBM® Spectrum LSF jobs have several states.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
24,24,lsf management host,host,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,The LSF management host is the ﬁrst host that is conﬁgured in the Hosts section of LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.,"[""host"", ""lsf"", ""daemon"", ""command"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""The LSF management host is the ﬁrst host that is conﬁgured in the Hosts section of LSF_CONFDIR/lsf.cluster.cluster_name ﬁle."", ""Start with the LSF management host, and repeat these steps on all LSF hosts.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
25,25,lsf operating environment,environment,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"In the csh or tcsh shell, run the source command:
% source <LSF_TOP>/conf/cshrc.lsf
In the sh, ksh, or bash shell run the following command:
$ . <LSF_TOP>/conf/profile.lsf
The ﬁles cshrc.lsf and proﬁle.lsf are created du","[""environment"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""In the csh or tcsh shell, run the source command:\n% source <LSF_TOP>/conf/cshrc.lsf\nIn the sh, ksh, or bash shell run the following command:\n$ . <LSF_TOP>/conf/profile.lsf\nThe ﬁles cshrc.lsf and proﬁle.lsf are created during installation by the lsﬁnstall command to set up the LSF operating environment.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
26,26,lsf queue,queue,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"bqueues command
LSF queues organize jobs with different priorities and different scheduling policies.","[""queue"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""bqueues command\nLSF queues organize jobs with different priorities and different scheduling policies."", ""Run LSF jobs with bsub and lsrun\nUse two basic commands to run jobs through LSF:\nbsub submits jobs to the LSF batch scheduler. LSF schedules and dispatches jobs to the best available host based on the scheduling policies\nyou conﬁgure in your LSF queues.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
27,27,lsf resource,resource,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Resources
LSF resources are objects in the LSF system resources that LSF uses track job requirements and schedule jobs according to their availability on
individual hosts.","[""resource"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""plugin"", ""none""]","[""Resources\nLSF resources are objects in the LSF system resources that LSF uses track job requirements and schedule jobs according to their availability on\nindividual hosts."", ""In general, you can deﬁne any quantiﬁable resource as an external load index, write an ELIM to report its value,\nand use it as an LSF resource.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
28,28,lsf server host,host,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"LSF server hosts that are deﬁned in your cluster are indicated by 1 in the server column of the Hosts section in the
LSF_CONFDIR/lsf.cluster.cluster_name ﬁle.","[""host"", ""lsf"", ""daemon"", ""command"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""LSF server hosts that are deﬁned in your cluster are indicated by 1 in the server column of the Hosts section in the\nLSF_CONFDIR/lsf.cluster.cluster_name ﬁle."", ""Log in as root to each LSF server host.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
29,29,lsf system,system,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"SSUSP
Suspended by the LSF system.
POST_DONE
Post-processing completed without errors.","[""system"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""SSUSP\nSuspended by the LSF system.\nPOST_DONE\nPost-processing completed without errors."", ""Job\nAn LSF job is a unit of work that runs in the LSF system.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
30,30,lsf system resource,resource,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"Resources
LSF resources are objects in the LSF system resources that LSF uses track job requirements and schedule jobs according to their availability on
individual hosts.","[""resource"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""plugin"", ""none""]","[""Resources\nLSF resources are objects in the LSF system resources that LSF uses track job requirements and schedule jobs according to their availability on\nindividual hosts.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
31,31,lsf_envdir lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
32,32,management host lim,lim,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,Management host LIM is down,"[""lim"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""resource"", ""plugin"", ""none""]","[""Management host LIM is down"", ""Sometimes the management host LIM is up, but running the lsload or lshosts command displays the Master LIM is down; try later.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
33,33,management host lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
34,34,mbatchd daemon,daemon,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"UNKWN
The mbatchd daemon lost contact with the sbatchd daemon on the host where the job runs.","[""daemon"", ""lsf"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""UNKWN\nThe mbatchd daemon lost contact with the sbatchd daemon on the host where the job runs."", ""For instance, running the bkill command to kill a job in\nUNKWN state, a re-runnable job is requeued when the execution host is unavailable, or the mbatchd daemon killing the UNKWN job when\nthe REMOVE_HUNG_JOBS_FOR parameter is set in the lsb.params ﬁle. (See Removing hung jobs from LSF for details about\nREMOVE_HUNG_JOBS_FOR.)""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
35,35,node slurm,slurm,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""slurm"", ""lsf"", ""daemon"", ""command"", ""host"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
36,36,pattern allocation job,job,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""job"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
