lemma_id,doc_id,sent_idx,sentence,tokens_json,lemmas_json,lemmas_with_case_json,lemmatized_text,lemmatized_text_with_case,pos_tags_json,cleaned_version,created_at
11,doc_4387,11,"Supported values are jobacct_gather/linux, jobacct_gather/cgroup and jobacct_gather/none (no information collected).","[""Supported"", ""values"", ""are"", ""jobacct_gather"", ""/"", ""linux"", "","", ""jobacct_gather"", ""/"", ""cgroup"", ""and"", ""jobacct_gather"", ""/"", ""none"", ""("", ""no"", ""information"", ""collected"", "")"", "".""]","[""support"", ""value"", ""be"", ""jobacct_gather"", ""/"", ""linux"", "","", ""jobacct_gather"", ""/"", ""cgroup"", ""and"", ""jobacct_gather"", ""/"", ""none"", ""("", ""no"", ""information"", ""collect"", "")"", "".""]","[""Support"", ""value"", ""be"", ""jobacct_gather"", ""/"", ""linux"", "","", ""jobacct_gather"", ""/"", ""cgroup"", ""and"", ""jobacct_gather"", ""/"", ""none"", ""("", ""no"", ""information"", ""collect"", "")"", "".""]","support value be jobacct_gather / linux , jobacct_gather / cgroup and jobacct_gather / none ( no information collect ) .","Support value be jobacct_gather / linux , jobacct_gather / cgroup and jobacct_gather / none ( no information collect ) .","[""VERB"", ""NOUN"", ""AUX"", ""PROPN"", ""SYM"", ""PROPN"", ""PUNCT"", ""PROPN"", ""SYM"", ""PROPN"", ""CCONJ"", ""PROPN"", ""SYM"", ""NOUN"", ""PUNCT"", ""DET"", ""NOUN"", ""VERB"", ""PUNCT"", ""PUNCT""]",1,2025-12-02T14:35:33Z
12,doc_4387,12,JobCompType controls how job completion information is recorded.,"[""JobCompType"", ""controls"", ""how"", ""job"", ""completion"", ""information"", ""is"", ""recorded"", "".""]","[""jobcomptype"", ""control"", ""how"", ""job"", ""completion"", ""information"", ""be"", ""record"", "".""]","[""Jobcomptype"", ""control"", ""how"", ""job"", ""completion"", ""information"", ""be"", ""record"", "".""]",jobcomptype control how job completion information be record .,Jobcomptype control how job completion information be record .,"[""NOUN"", ""VERB"", ""SCONJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""AUX"", ""VERB"", ""PUNCT""]",1,2025-12-02T14:35:33Z
13,doc_4387,13,"This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead.","[""This"", ""can"", ""be"", ""used"", ""to"", ""record"", ""basic"", ""job"", ""information"", ""such"", ""as"", ""job"", ""name"", "","", ""user"", ""name"", "","", ""allocated"", ""nodes"", "","", ""start"", ""time"", "","", ""completion"", ""time"", "","", ""exit"", ""status"", "","", ""etc"", ""."", ""If"", ""the"", ""preservation"", ""of"", ""only"", ""basic"", ""job"", ""information"", ""is"", ""required"", "","", ""this"", ""plugin"", ""should"", ""satisfy"", ""your"", ""needs"", ""with"", ""minimal"", ""overhead"", "".""]","[""this"", ""can"", ""be"", ""use"", ""to"", ""record"", ""basic"", ""job"", ""information"", ""such"", ""as"", ""job"", ""name"", "","", ""user"", ""name"", "","", ""allocate"", ""node"", "","", ""start"", ""time"", "","", ""completion"", ""time"", "","", ""exit"", ""status"", "","", ""etc"", ""."", ""if"", ""the"", ""preservation"", ""of"", ""only"", ""basic"", ""job"", ""information"", ""be"", ""require"", "","", ""this"", ""plugin"", ""should"", ""satisfy"", ""your"", ""need"", ""with"", ""minimal"", ""overhead"", "".""]","[""This"", ""can"", ""be"", ""use"", ""to"", ""record"", ""basic"", ""job"", ""information"", ""such"", ""as"", ""job"", ""name"", "","", ""user"", ""name"", "","", ""allocate"", ""node"", "","", ""start"", ""time"", "","", ""completion"", ""time"", "","", ""exit"", ""status"", "","", ""etc"", ""."", ""If"", ""the"", ""preservation"", ""of"", ""only"", ""basic"", ""job"", ""information"", ""be"", ""require"", "","", ""this"", ""plugin"", ""should"", ""satisfy"", ""your"", ""need"", ""with"", ""minimal"", ""overhead"", "".""]","this can be use to record basic job information such as job name , user name , allocate node , start time , completion time , exit status , etc . if the preservation of only basic job information be require , this plugin should satisfy your need with minimal overhead .","This can be use to record basic job information such as job name , user name , allocate node , start time , completion time , exit status , etc . If the preservation of only basic job information be require , this plugin should satisfy your need with minimal overhead .","[""DET"", ""AUX"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""ADJ"", ""ADP"", ""NOUN"", ""NOUN"", ""PUNCT"", ""NOUN"", ""NOUN"", ""PUNCT"", ""VERB"", ""NOUN"", ""PUNCT"", ""VERB"", ""NOUN"", ""PUNCT"", ""NOUN"", ""NOUN"", ""PUNCT"", ""NOUN"", ""NOUN"", ""PUNCT"", ""X"", ""X"", ""SCONJ"", ""DET"", ""NOUN"", ""ADP"", ""ADJ"", ""ADJ"", ""NOUN"", ""NOUN"", ""AUX"", ""VERB"", ""PUNCT"", ""DET"", ""NOUN"", ""AUX"", ""VERB"", ""PRON"", ""NOUN"", ""ADP"", ""ADJ"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
14,doc_4387,14,"You can store this information in a text file, or MySQL or MariaDB database.","[""You"", ""can"", ""store"", ""this"", ""information"", ""in"", ""a"", ""text"", ""file"", "","", ""or"", ""MySQL"", ""or"", ""MariaDB"", ""database"", "".""]","[""you"", ""can"", ""store"", ""this"", ""information"", ""in"", ""a"", ""text"", ""file"", "","", ""or"", ""MySQL"", ""or"", ""MariaDB"", ""database"", "".""]","[""You"", ""can"", ""store"", ""this"", ""information"", ""in"", ""a"", ""text"", ""file"", "","", ""or"", ""Mysql"", ""or"", ""Mariadb"", ""database"", "".""]","you can store this information in a text file , or MySQL or MariaDB database .","You can store this information in a text file , or Mysql or Mariadb database .","[""PRON"", ""AUX"", ""VERB"", ""DET"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""NOUN"", ""PUNCT"", ""CCONJ"", ""PROPN"", ""CCONJ"", ""PROPN"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
15,doc_4387,15,The use of sacct to view information about jobs is dependent upon AccountingStorageType being configured to collect and store that information.,"[""The"", ""use"", ""of"", ""sacct"", ""to"", ""view"", ""information"", ""about"", ""jobs"", ""is"", ""dependent"", ""upon"", ""AccountingStorageType"", ""being"", ""configured"", ""to"", ""collect"", ""and"", ""store"", ""that"", ""information"", "".""]","[""the"", ""use"", ""of"", ""sacct"", ""to"", ""view"", ""information"", ""about"", ""job"", ""be"", ""dependent"", ""upon"", ""accountingstoragetype"", ""be"", ""configure"", ""to"", ""collect"", ""and"", ""store"", ""that"", ""information"", "".""]","[""The"", ""use"", ""of"", ""sacct"", ""to"", ""view"", ""information"", ""about"", ""job"", ""be"", ""dependent"", ""upon"", ""Accountingstoragetype"", ""be"", ""configure"", ""to"", ""collect"", ""and"", ""store"", ""that"", ""information"", "".""]",the use of sacct to view information about job be dependent upon accountingstoragetype be configure to collect and store that information .,The use of sacct to view information about job be dependent upon Accountingstoragetype be configure to collect and store that information .,"[""DET"", ""NOUN"", ""ADP"", ""NOUN"", ""PART"", ""VERB"", ""NOUN"", ""ADP"", ""NOUN"", ""AUX"", ""ADJ"", ""SCONJ"", ""NOUN"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""CCONJ"", ""VERB"", ""DET"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
16,doc_4387,16,The use of sreport is dependent upon some database being used to store that information.,"[""The"", ""use"", ""of"", ""sreport"", ""is"", ""dependent"", ""upon"", ""some"", ""database"", ""being"", ""used"", ""to"", ""store"", ""that"", ""information"", "".""]","[""the"", ""use"", ""of"", ""sreport"", ""be"", ""dependent"", ""upon"", ""some"", ""database"", ""be"", ""use"", ""to"", ""store"", ""that"", ""information"", "".""]","[""The"", ""use"", ""of"", ""sreport"", ""be"", ""dependent"", ""upon"", ""some"", ""database"", ""be"", ""use"", ""to"", ""store"", ""that"", ""information"", "".""]",the use of sreport be dependent upon some database be use to store that information .,The use of sreport be dependent upon some database be use to store that information .,"[""DET"", ""NOUN"", ""ADP"", ""NOUN"", ""AUX"", ""ADJ"", ""SCONJ"", ""DET"", ""NOUN"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""DET"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
17,doc_4387,17,The use of sacct or sstat to view information about resource usage within jobs is dependent upon both JobAcctGatherType and AccountingStorageType being configured to collect and store that information.,"[""The"", ""use"", ""of"", ""sacct"", ""or"", ""sstat"", ""to"", ""view"", ""information"", ""about"", ""resource"", ""usage"", ""within"", ""jobs"", ""is"", ""dependent"", ""upon"", ""both"", ""JobAcctGatherType"", ""and"", ""AccountingStorageType"", ""being"", ""configured"", ""to"", ""collect"", ""and"", ""store"", ""that"", ""information"", "".""]","[""the"", ""use"", ""of"", ""sacct"", ""or"", ""sstat"", ""to"", ""view"", ""information"", ""about"", ""resource"", ""usage"", ""within"", ""job"", ""be"", ""dependent"", ""upon"", ""both"", ""JobAcctGatherType"", ""and"", ""AccountingStorageType"", ""be"", ""configure"", ""to"", ""collect"", ""and"", ""store"", ""that"", ""information"", "".""]","[""The"", ""use"", ""of"", ""sacct"", ""or"", ""sstat"", ""to"", ""view"", ""information"", ""about"", ""resource"", ""usage"", ""within"", ""job"", ""be"", ""dependent"", ""upon"", ""both"", ""Jobacctgathertype"", ""and"", ""Accountingstoragetype"", ""be"", ""configure"", ""to"", ""collect"", ""and"", ""store"", ""that"", ""information"", "".""]",the use of sacct or sstat to view information about resource usage within job be dependent upon both JobAcctGatherType and AccountingStorageType be configure to collect and store that information .,The use of sacct or sstat to view information about resource usage within job be dependent upon both Jobacctgathertype and Accountingstoragetype be configure to collect and store that information .,"[""DET"", ""NOUN"", ""ADP"", ""NOUN"", ""CCONJ"", ""VERB"", ""PART"", ""VERB"", ""NOUN"", ""ADP"", ""NOUN"", ""NOUN"", ""ADP"", ""NOUN"", ""AUX"", ""ADJ"", ""SCONJ"", ""CCONJ"", ""PROPN"", ""CCONJ"", ""PROPN"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""CCONJ"", ""VERB"", ""DET"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
18,doc_4387,18,Storing the accounting information into text files is very simple.,"[""Storing"", ""the"", ""accounting"", ""information"", ""into"", ""text"", ""files"", ""is"", ""very"", ""simple"", "".""]","[""store"", ""the"", ""accounting"", ""information"", ""into"", ""text"", ""file"", ""be"", ""very"", ""simple"", "".""]","[""Store"", ""the"", ""accounting"", ""information"", ""into"", ""text"", ""file"", ""be"", ""very"", ""simple"", "".""]",store the accounting information into text file be very simple .,Store the accounting information into text file be very simple .,"[""VERB"", ""DET"", ""NOUN"", ""NOUN"", ""ADP"", ""NOUN"", ""NOUN"", ""AUX"", ""ADV"", ""ADJ"", ""PUNCT""]",1,2025-12-02T14:35:33Z
19,doc_4387,19,Just configure the appropriate plugin (e.g. JobCompType=jobcomp/filetxt) and then specify the pathname of the file (e.g. JobCompLoc=/var/log/slurm/job_completions).,"[""Just"", ""configure"", ""the"", ""appropriate"", ""plugin"", ""("", ""e.g."", ""JobCompType"", ""="", ""jobcomp"", ""/"", ""filetxt"", "")"", ""and"", ""then"", ""specify"", ""the"", ""pathname"", ""of"", ""the"", ""file"", ""("", ""e.g."", ""JobCompLoc=/var"", ""/"", ""log"", ""/"", ""slurm"", ""/"", ""job_completions"", "")"", "".""]","[""just"", ""configure"", ""the"", ""appropriate"", ""plugin"", ""("", ""e.g."", ""jobcomptype"", ""="", ""jobcomp"", ""/"", ""filetxt"", "")"", ""and"", ""then"", ""specify"", ""the"", ""pathname"", ""of"", ""the"", ""file"", ""("", ""e.g."", ""JobCompLoc=/var"", ""/"", ""log"", ""/"", ""slurm"", ""/"", ""job_completions"", "")"", "".""]","[""Just"", ""configure"", ""the"", ""appropriate"", ""plugin"", ""("", ""e.g."", ""Jobcomptype"", ""="", ""jobcomp"", ""/"", ""filetxt"", "")"", ""and"", ""then"", ""specify"", ""the"", ""pathname"", ""of"", ""the"", ""file"", ""("", ""e.g."", ""Jobcomploc=/var"", ""/"", ""log"", ""/"", ""slurm"", ""/"", ""job_completions"", "")"", "".""]",just configure the appropriate plugin ( e.g. jobcomptype = jobcomp / filetxt ) and then specify the pathname of the file ( e.g. JobCompLoc=/var / log / slurm / job_completions ) .,Just configure the appropriate plugin ( e.g. Jobcomptype = jobcomp / filetxt ) and then specify the pathname of the file ( e.g. Jobcomploc=/var / log / slurm / job_completions ) .,"[""ADV"", ""VERB"", ""DET"", ""ADJ"", ""NOUN"", ""PUNCT"", ""ADV"", ""NOUN"", ""SYM"", ""NOUN"", ""SYM"", ""PROPN"", ""PUNCT"", ""CCONJ"", ""ADV"", ""VERB"", ""DET"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""PUNCT"", ""ADV"", ""PROPN"", ""SYM"", ""PROPN"", ""SYM"", ""PROPN"", ""SYM"", ""PROPN"", ""PUNCT"", ""PUNCT""]",1,2025-12-02T14:35:33Z
20,doc_4387,20,"Use the logrotate or similar tool to prevent the log files from getting too large. Send a SIGUSR2 signal to the slurmctld daemon after moving the files, but before compressing them so that new log files will be created.","[""Use"", ""the"", ""logrotate"", ""or"", ""similar"", ""tool"", ""to"", ""prevent"", ""the"", ""log"", ""files"", ""from"", ""getting"", ""too"", ""large"", ""."", ""Send"", ""a"", ""SIGUSR2"", ""signal"", ""to"", ""the"", ""slurmctld"", ""daemon"", ""after"", ""moving"", ""the"", ""files"", "","", ""but"", ""before"", ""compressing"", ""them"", ""so"", ""that"", ""new"", ""log"", ""files"", ""will"", ""be"", ""created"", "".""]","[""use"", ""the"", ""logrotate"", ""or"", ""similar"", ""tool"", ""to"", ""prevent"", ""the"", ""log"", ""file"", ""from"", ""get"", ""too"", ""large"", ""."", ""send"", ""a"", ""SIGUSR2"", ""signal"", ""to"", ""the"", ""slurmctld"", ""daemon"", ""after"", ""move"", ""the"", ""file"", "","", ""but"", ""before"", ""compress"", ""they"", ""so"", ""that"", ""new"", ""log"", ""file"", ""will"", ""be"", ""create"", "".""]","[""Use"", ""the"", ""logrotate"", ""or"", ""similar"", ""tool"", ""to"", ""prevent"", ""the"", ""log"", ""file"", ""from"", ""get"", ""too"", ""large"", ""."", ""Send"", ""a"", ""SIGUSR2"", ""signal"", ""to"", ""the"", ""slurmctld"", ""daemon"", ""after"", ""move"", ""the"", ""file"", "","", ""but"", ""before"", ""compress"", ""they"", ""so"", ""that"", ""new"", ""log"", ""file"", ""will"", ""be"", ""create"", "".""]","use the logrotate or similar tool to prevent the log file from get too large . send a SIGUSR2 signal to the slurmctld daemon after move the file , but before compress they so that new log file will be create .","Use the logrotate or similar tool to prevent the log file from get too large . Send a SIGUSR2 signal to the slurmctld daemon after move the file , but before compress they so that new log file will be create .","[""VERB"", ""DET"", ""ADJ"", ""CCONJ"", ""ADJ"", ""NOUN"", ""PART"", ""VERB"", ""DET"", ""NOUN"", ""NOUN"", ""ADP"", ""VERB"", ""ADV"", ""ADJ"", ""PUNCT"", ""VERB"", ""DET"", ""PROPN"", ""NOUN"", ""ADP"", ""DET"", ""ADJ"", ""NOUN"", ""ADP"", ""VERB"", ""DET"", ""NOUN"", ""PUNCT"", ""CCONJ"", ""ADP"", ""VERB"", ""PRON"", ""SCONJ"", ""SCONJ"", ""ADJ"", ""NOUN"", ""NOUN"", ""AUX"", ""AUX"", ""VERB"", ""PUNCT""]",1,2025-12-02T14:35:33Z
