edge_id,head_lemma,tail_lemma,relation,head_term,tail_term,doc_id,chunk_id,confidence,reason,raw_json
11,/proc/cpuinfo,core numbering,provides,/proc/cpuinfo,core numbering,doc_10c5,doc_10c5_chunk_0007,0.95,The text mentions that the core numbering information is available from the /proc/cpuinfo file on the system.,"{
  ""relations"": [
    {
      ""head"": ""--cpu-bind"",
      ""tail"": ""core numbering"",
      ""relation"": ""assumes"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that users must understand the core numbering on their system when using the --cpu-bind flag.""
    },
    {
      ""head"": ""/proc/cpuinfo"",
      ""tail"": ""core numbering"",
      ""relation"": ""provides"",
      ""confidence"": 0.95,
      ""reason"": ""The text mentions that the core numbering information is available from the /proc/cpuinfo file on the system.""
    },
    {
      ""head"": ""cpu affinity"",
      ""tail"": ""multi-core"",
      ""relation"": ""related_to"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that CPU affinity is set when using multi-core supporting flags.""
    }
  ]
}"
12,cpu affinity,multi-core,related_to,CPU affinity,multi-core,doc_10c5,doc_10c5_chunk_0007,0.9,The text mentions that CPU affinity is set when using multi-core supporting flags.,"{
  ""relations"": [
    {
      ""head"": ""--cpu-bind"",
      ""tail"": ""core numbering"",
      ""relation"": ""assumes"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that users must understand the core numbering on their system when using the --cpu-bind flag.""
    },
    {
      ""head"": ""/proc/cpuinfo"",
      ""tail"": ""core numbering"",
      ""relation"": ""provides"",
      ""confidence"": 0.95,
      ""reason"": ""The text mentions that the core numbering information is available from the /proc/cpuinfo file on the system.""
    },
    {
      ""head"": ""cpu affinity"",
      ""tail"": ""multi-core"",
      ""relation"": ""related_to"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that CPU affinity is set when using multi-core supporting flags.""
    }
  ]
}"
13,default value,time,has_value,default value,time,doc_2770,doc_2770_chunk_0007,0.95,The default value is specified as the length of time for which the locks are relinquished in microseconds.,"{""relations"": [{""head"": ""default value"", ""tail"": ""time"", ""relation"": ""has_value"", ""confidence"": 0.95, ""reason"": ""The default value is specified as the length of time for which the locks are relinquished in microseconds.""}]}"
14,command,git,uses,command,git,doc_2ec1,doc_2ec1_chunk_0003,0.9,The command is used to interact with Git.,"{""relations"": [{""head"": ""command"", ""tail"": ""git"", ""relation"": ""uses"", ""confidence"": 0.9, ""reason"": ""The command is used to interact with Git.""}]}"
15,kafka plugin,syslog,logs_to,kafka plugin,syslog,doc_32e0,doc_32e0_chunk_0004,0.9,The kafka plugin is configured to forcefully log to syslog instead of the default application stderr.,"{
  ""relations"": [
    {
      ""head"": ""kafka plugin"",
      ""tail"": ""syslog"",
      ""relation"": ""logs_to"",
      ""confidence"": 0.9,
      ""reason"": ""The kafka plugin is configured to forcefully log to syslog instead of the default application stderr.""
    },
    {
      ""head"": ""librdkafka"",
      ""tail"": ""JobCompLoc"",
      ""relation"": ""configures_via"",
      ""confidence"": 0.9,
      ""reason"": ""The library configuration parameters, including logging level and debug contexts, are configurable via the file referenced by JobCompLoc.""
    }
  ]
}"
16,slurmctld daemon,slurmstepd,spawns,slurmctld daemon,slurmstepd,doc_33d3,doc_33d3_chunk_0003,0.95,slurmctld daemon spawns a slurmstepd program to manage the job step.,"{
  ""relations"": [
    {
      ""head"": ""slurmctld daemon"",
      ""tail"": ""slurmstepd"",
      ""relation"": ""spawns"",
      ""confidence"": 0.95,
      ""reason"": ""slurmctld daemon spawns a slurmstepd program to manage the job step.""
    }
  ]
}"
17,prioritysitefactorplugin,prioritycalcperiod,controls_update_interval,PrioritySiteFactorPlugin,PriorityCalcPeriod,doc_3773,doc_3773_chunk_0003,0.9,"PrioritySiteFactorPlugin specifies the plugin used, and PriorityCalcPeriod is the interval between calls to site_factor_p_update().","{
  ""relations"": [
    {
      ""head"": ""prioritysitefactorplugin"",
      ""tail"": ""PriorityCalcPeriod"",
      ""relation"": ""controls_update_interval"",
      ""confidence"": 0.9,
      ""reason"": ""PrioritySiteFactorPlugin specifies the plugin used, and PriorityCalcPeriod is the interval between calls to site_factor_p_update().""
    }
  ]
}"
18,mysql,innodb_buffer_pool_size,has_config_param,mysql,innodb_buffer_pool_size,doc_4387,doc_4387_chunk_0008,0.95,mysql is recommended to have at least 16M for innodb_buffer_pool_size.,"{
  ""relations"": [
    {
      ""head"": ""mysql"",
      ""tail"": ""innodb_buffer_pool_size"",
      ""relation"": ""has_config_param"",
      ""confidence"": 0.95,
      ""reason"": ""mysql is recommended to have at least 16M for innodb_buffer_pool_size.""
    },
    {
      ""head"": ""mysql"",
      ""tail"": ""innodb_log_file_size"",
      ""relation"": ""has_config_param"",
      ""confidence"": 0.95,
      ""reason"": ""innodb_log_file_size is mentioned as a config param in the MySQL configuration.""
    },
    {
      ""head"": ""AccountingStoreFlags"",
      ""tail"": ""max_script_size"",
      ""relation"": ""controls"",
      ""confidence"": 0.9,
      ""reason"": ""If AccountingStoreFlags=job_env,job_script, this must be greater than max_script_size.""
    }
  ]
}"
19,mysql,innodb_log_file_size,has_config_param,mysql,innodb_log_file_size,doc_4387,doc_4387_chunk_0008,0.95,innodb_log_file_size is mentioned as a config param in the MySQL configuration.,"{
  ""relations"": [
    {
      ""head"": ""mysql"",
      ""tail"": ""innodb_buffer_pool_size"",
      ""relation"": ""has_config_param"",
      ""confidence"": 0.95,
      ""reason"": ""mysql is recommended to have at least 16M for innodb_buffer_pool_size.""
    },
    {
      ""head"": ""mysql"",
      ""tail"": ""innodb_log_file_size"",
      ""relation"": ""has_config_param"",
      ""confidence"": 0.95,
      ""reason"": ""innodb_log_file_size is mentioned as a config param in the MySQL configuration.""
    },
    {
      ""head"": ""AccountingStoreFlags"",
      ""tail"": ""max_script_size"",
      ""relation"": ""controls"",
      ""confidence"": 0.9,
      ""reason"": ""If AccountingStoreFlags=job_env,job_script, this must be greater than max_script_size.""
    }
  ]
}"
20,accountingstoreflags,max_script_size,controls,AccountingStoreFlags,max_script_size,doc_4387,doc_4387_chunk_0008,0.9,"If AccountingStoreFlags=job_env,job_script, this must be greater than max_script_size.","{
  ""relations"": [
    {
      ""head"": ""mysql"",
      ""tail"": ""innodb_buffer_pool_size"",
      ""relation"": ""has_config_param"",
      ""confidence"": 0.95,
      ""reason"": ""mysql is recommended to have at least 16M for innodb_buffer_pool_size.""
    },
    {
      ""head"": ""mysql"",
      ""tail"": ""innodb_log_file_size"",
      ""relation"": ""has_config_param"",
      ""confidence"": 0.95,
      ""reason"": ""innodb_log_file_size is mentioned as a config param in the MySQL configuration.""
    },
    {
      ""head"": ""AccountingStoreFlags"",
      ""tail"": ""max_script_size"",
      ""relation"": ""controls"",
      ""confidence"": 0.9,
      ""reason"": ""If AccountingStoreFlags=job_env,job_script, this must be greater than max_script_size.""
    }
  ]
}"
21,slurm,slurm version,has_attribute,Slurm,Slurm version,doc_4657,doc_4657_chunk_0001,0.9,Slurm version is mentioned in the documentation for Slurm.,"{""relations"": [{""head"": ""slurm"", ""tail"": ""slurm version"", ""relation"": ""has_attribute"", ""confidence"": 0.9, ""reason"": ""Slurm version is mentioned in the documentation for Slurm.""}]}"
22,job submit plugin,routing queue,configures,job submit plugin,routing queue,doc_5755,doc_5755_chunk_0036,0.9,A job submit plugin is designed to configure a routing queue based on job request and system partition/queue information.,"{
  ""relations"": [
    {
      ""head"": ""job submit plugin"",
      ""tail"": ""routing queue"",
      ""relation"": ""configures"",
      ""confidence"": 0.9,
      ""reason"": ""A job submit plugin is designed to configure a routing queue based on job request and system partition/queue information.""
    },
    {
      ""head"": ""slurm 23.11"",
      ""tail"": ""none plugins"",
      ""relation"": ""removed"",
      ""confidence"": 0.9,
      ""reason"": ""In Slurm 23.11, plugins named 'none' were removed.""
    },
    {
      ""head"": ""slurmdbd"",
      ""tail"": ""regular database plugins"",
      ""relation"": ""provides_security_for"",
      ""confidence"": 0.9,
      ""reason"": ""The slurmdbd provides an authenticated connection to the database, adding security compared to regular storage plugins.""
    }
  ]
}"
23,slurm 23.11,none plugins,removed,Slurm 23.11,none plugins,doc_5755,doc_5755_chunk_0036,0.9,"In Slurm 23.11, plugins named 'none' were removed.","{
  ""relations"": [
    {
      ""head"": ""job submit plugin"",
      ""tail"": ""routing queue"",
      ""relation"": ""configures"",
      ""confidence"": 0.9,
      ""reason"": ""A job submit plugin is designed to configure a routing queue based on job request and system partition/queue information.""
    },
    {
      ""head"": ""slurm 23.11"",
      ""tail"": ""none plugins"",
      ""relation"": ""removed"",
      ""confidence"": 0.9,
      ""reason"": ""In Slurm 23.11, plugins named 'none' were removed.""
    },
    {
      ""head"": ""slurmdbd"",
      ""tail"": ""regular database plugins"",
      ""relation"": ""provides_security_for"",
      ""confidence"": 0.9,
      ""reason"": ""The slurmdbd provides an authenticated connection to the database, adding security compared to regular storage plugins.""
    }
  ]
}"
24,awk,launch string,modifies,awk,launch string,doc_5755,doc_5755_chunk_0063,0.9,awk is used in the launch string to modify it.,"{
  ""relations"": [
    {
      ""head"": ""awk"",
      ""tail"": ""launch string"",
      ""relation"": ""modifies"",
      ""confidence"": 0.9,
      ""reason"": ""awk is used in the launch string to modify it.""
    },
    {
      ""head"": ""dset"",
      ""tail"": ""bulk_launch_tmpfile1_host_lines"",
      ""relation"": ""sets_as_default"",
      ""confidence"": 0.9,
      ""reason"": ""dset sets bulk_launch_tmpfile1_host_lines as the default.""
    },
    {
      ""head"": ""hostnames"",
      ""tail"": ""bulk_launch_tmpfile1_host_lines"",
      ""relation"": ""fills"",
      ""confidence"": 0.9,
      ""reason"": ""hostnames are listed in bulk_launch_tmpfile1_host_lines.""
    }
  ]
}"
25,dset,bulk_launch_tmpfile1_host_lines,sets_as_default,dset,bulk_launch_tmpfile1_host_lines,doc_5755,doc_5755_chunk_0063,0.9,dset sets bulk_launch_tmpfile1_host_lines as the default.,"{
  ""relations"": [
    {
      ""head"": ""awk"",
      ""tail"": ""launch string"",
      ""relation"": ""modifies"",
      ""confidence"": 0.9,
      ""reason"": ""awk is used in the launch string to modify it.""
    },
    {
      ""head"": ""dset"",
      ""tail"": ""bulk_launch_tmpfile1_host_lines"",
      ""relation"": ""sets_as_default"",
      ""confidence"": 0.9,
      ""reason"": ""dset sets bulk_launch_tmpfile1_host_lines as the default.""
    },
    {
      ""head"": ""hostnames"",
      ""tail"": ""bulk_launch_tmpfile1_host_lines"",
      ""relation"": ""fills"",
      ""confidence"": 0.9,
      ""reason"": ""hostnames are listed in bulk_launch_tmpfile1_host_lines.""
    }
  ]
}"
26,slurm,performance,reports_on,Slurm,Performance,doc_582b,doc_582b_chunk_0001,0.9,Slurm is described as providing performance times for MPI programs.,"{
  ""relations"": [
    {
      ""head"": ""slurm"",
      ""tail"": ""performance"",
      ""relation"": ""reports_on"",
      ""confidence"": 0.9,
      ""reason"": ""Slurm is described as providing performance times for MPI programs.""
    },
    {
      ""head"": ""bluegene/q"",
      ""tail"": ""slurm"",
      ""relation"": ""runs_on"",
      ""confidence"": 0.9,
      ""reason"": ""BlueGene/Q is mentioned as a system managed by Slurm.""
    },
    {
      ""head"": ""slurm"",
      ""tail"": ""file-max"",
      ""relation"": ""configures"",
      ""confidence"": 0.9,
      ""reason"": ""Slurm is mentioned as requiring changes to the file-max parameter.""
    }
  ]
}"
27,bluegene/q,slurm,runs_on,BlueGene/Q,Slurm,doc_582b,doc_582b_chunk_0001,0.9,BlueGene/Q is mentioned as a system managed by Slurm.,"{
  ""relations"": [
    {
      ""head"": ""slurm"",
      ""tail"": ""performance"",
      ""relation"": ""reports_on"",
      ""confidence"": 0.9,
      ""reason"": ""Slurm is described as providing performance times for MPI programs.""
    },
    {
      ""head"": ""bluegene/q"",
      ""tail"": ""slurm"",
      ""relation"": ""runs_on"",
      ""confidence"": 0.9,
      ""reason"": ""BlueGene/Q is mentioned as a system managed by Slurm.""
    },
    {
      ""head"": ""slurm"",
      ""tail"": ""file-max"",
      ""relation"": ""configures"",
      ""confidence"": 0.9,
      ""reason"": ""Slurm is mentioned as requiring changes to the file-max parameter.""
    }
  ]
}"
28,datawarp,access,supports,Datawarp,access,doc_6722,doc_6722_chunk_0014,0.9,Datawarp plugin allows the 'access' option in the --bb directive.,"{
  ""relations"": [
    {
      ""head"": ""datawarp"",
      ""tail"": ""access"",
      ""relation"": ""supports"",
      ""confidence"": 0.9,
      ""reason"": ""Datawarp plugin allows the 'access' option in the --bb directive.""
    }
  ]
}"
29,time,expiration time,represents,time,expiration time,doc_6b88,doc_6b88_chunk_0007,0.9,time is used to represent expiration time in the script.,"{""relations"": [{""head"": ""time"", ""tail"": ""expiration time"", ""relation"": ""represents"", ""confidence"": 0.9, ""reason"": ""time is used to represent expiration time in the script.""}, {""head"": ""jwt"", ""tail"": ""/var/spool/slurm/statesave/jwt.key"", ""relation"": ""reads_from"", ""confidence"": 0.9, ""reason"": ""jwt reads its private key from /var/spool/slurm/statesave/jwt.key in the script.""}]}"
30,jwt,/var/spool/slurm/statesave/jwt.key,reads_from,JWT,/var/spool/slurm/statesave/jwt.key,doc_6b88,doc_6b88_chunk_0007,0.9,jwt reads its private key from /var/spool/slurm/statesave/jwt.key in the script.,"{""relations"": [{""head"": ""time"", ""tail"": ""expiration time"", ""relation"": ""represents"", ""confidence"": 0.9, ""reason"": ""time is used to represent expiration time in the script.""}, {""head"": ""jwt"", ""tail"": ""/var/spool/slurm/statesave/jwt.key"", ""relation"": ""reads_from"", ""confidence"": 0.9, ""reason"": ""jwt reads its private key from /var/spool/slurm/statesave/jwt.key in the script.""}]}"
31,pam_slurm_adopt,root user,allows_access_to,pam_slurm_adopt,root user,doc_732b,doc_732b_chunk_0004,0.9,pam_slurm_adopt is described as always allowing the root user access.,"{""relations"": [{""head"": ""pam_slurm_adopt"", ""tail"": ""root user"", ""relation"": ""allows_access_to"", ""confidence"": 0.9, ""reason"": ""pam_slurm_adopt is described as always allowing the root user access.""}]}"
32,resources,maximum allocation,has_limit,resources,maximum allocation,doc_9ca6,doc_9ca6_chunk_0003,0.9,The text mentions that the maximum allocation is a limit for resources.,"{
  ""relations"": [
    {
      ""head"": ""resources"",
      ""tail"": ""maximum allocation"",
      ""relation"": ""has_limit"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that the maximum allocation is a limit for resources.""
    }
  ]
}"
33,fair-share factor,account hierarchy,applies_to,fair-share factor,account hierarchy,doc_c721,doc_c721_chunk_0003,0.9,"The fair-share factor is described as being necessary for a system where the priority of a user's job is calculated based on the portion of the machine allocated to the user and the historical usage of all the jobs run by that user under a specific account, which is part of an account hierarchy.","{""relations"": [{""head"": ""fair-share factor"", ""tail"": ""account hierarchy"", ""relation"": ""applies_to"", ""confidence"": 0.9, ""reason"": ""The fair-share factor is described as being necessary for a system where the priority of a user's job is calculated based on the portion of the machine allocated to the user and the historical usage of all the jobs run by that user under a specific account, which is part of an account hierarchy.""}]}"
34,slurm fair-share formula,fair-share factor,calculates,Slurm fair-share formula,fair-share factor,doc_c721,doc_c721_chunk_0007,0.99,The formula is explicitly stated to calculate the fair-share factor.,"{""relations"": [{""head"": ""slurm fair-share formula"", ""tail"": ""fair-share factor"", ""relation"": ""calculates"", ""confidence"": 0.99, ""reason"": ""The formula is explicitly stated to calculate the fair-share factor.""}, {""head"": ""user"", ""tail"": ""scheduling priority"", ""relation"": ""influences"", ""confidence"": 0.9, ""reason"": ""The text mentions that the fair-share factor determines scheduling priority.""}]}"
35,user,scheduling priority,influences,User,scheduling priority,doc_c721,doc_c721_chunk_0007,0.9,The text mentions that the fair-share factor determines scheduling priority.,"{""relations"": [{""head"": ""slurm fair-share formula"", ""tail"": ""fair-share factor"", ""relation"": ""calculates"", ""confidence"": 0.99, ""reason"": ""The formula is explicitly stated to calculate the fair-share factor.""}, {""head"": ""user"", ""tail"": ""scheduling priority"", ""relation"": ""influences"", ""confidence"": 0.9, ""reason"": ""The text mentions that the fair-share factor determines scheduling priority.""}]}"
36,ipv4,loopback interface,can_resolve_to,IPv4,loopback interface,doc_e2a1,doc_e2a1_chunk_0006,0.9,"The loopback interface may still resolve to IPv4, which is not necessarily an indication of a problem.","{
  ""relations"": [
    {
      ""head"": ""ipv4"",
      ""tail"": ""loopback interface"",
      ""relation"": ""can_resolve_to"",
      ""confidence"": 0.9,
      ""reason"": ""The loopback interface may still resolve to IPv4, which is not necessarily an indication of a problem.""
    }
  ]
}"
37,slurmctld,script,loads,slurmctld,script,doc_e8f0,doc_e8f0_chunk_0002,0.95,slurmctld is described as trying to load the script for each job submission.,"{""relations"": [{""head"": ""slurmctld"", ""tail"": ""script"", ""relation"": ""loads"", ""confidence"": 0.95, ""reason"": ""slurmctld is described as trying to load the script for each job submission.""}]}"
38,plugin,features_act,contains_subset_of,plugin,features_act,doc_e992,doc_e992_chunk_0006,0.8,"The text mentions that if a plugin is programmed, it must ensure that features_act contains a subset of features.","{""relations"": [{""head"": ""plugin"", ""tail"": ""features_act"", ""relation"": ""contains_subset_of"", ""confidence"": 0.8, ""reason"": ""The text mentions that if a plugin is programmed, it must ensure that features_act contains a subset of features.""}]}"
