edge_id,doc_id,chunk_id,child_term,parent_term,justification
61,doc_5755,doc_5755_chunk_0016,srun command with srun --pty bash -i,srun command,"The text explains that srun's --pty option runs a task in pseudo terminal mode, which is a specific way of using the srun command."
62,doc_5755,doc_5755_chunk_0016,interactive step created by salloc,interactive step,"The text describes the interactive step created by salloc as being launched via srun on a node in the allocation, making it a specific kind of interactive step."
63,doc_5755,doc_5755_chunk_0016,batch step,step,"The text compares an interactive step to a batch step, implying that a batch step is a type of step."
64,doc_5755,doc_5755_chunk_0019,default time limit,time limit,"The text mentions that partitions can have default time limits, which are a specific type of time limit."
65,doc_5755,doc_5755_chunk_0019,maximum time limit,time limit,"The text mentions that partitions can have maximum time limits, which are a specific type of time limit."
66,doc_5755,doc_5755_chunk_0021,scontrol script,script,"The text describes the scontrol command generating a script, making it a specific type of script."
67,doc_5755,doc_5755_chunk_0021,accounting record,record,"The text refers to a new accounting record being generated when a job is resized, making it a specific type of record."
68,doc_5755,doc_5755_chunk_0023,job_id,job,"The text refers to job_id as an identifier for a job, implying that it is a specific type of job."
69,doc_5755,doc_5755_chunk_0026,slurmd daemon,daemon,"The text refers to the slurmd daemon, which is a specific type of daemon."
70,doc_5755,doc_5755_chunk_0026,systemd's slurmd.service file,service file,"The text mentions a specific systemd service file for slurmd, making it a specific type of service file."
71,doc_5755,doc_5755_chunk_0027,test system's slurm.conf,slurm.conf,"The text describes a test system's slurm.conf as a specific configuration file for testing purposes, which is a subtype of the general slurm.conf."
72,doc_5755,doc_5755_chunk_0027,one slurmd daemon per emulated node,slurmd daemon,"The text suggests running one slurmd daemon per emulated node, making it a specific method of running slurmd daemons, which is a subtype of the general slurmd daemon."
73,doc_5755,doc_5755_chunk_0031,StateSaveLocation directory,directory,"The text refers to StateSaveLocation as a directory that needs to be copied, making it a specific type of directory."
74,doc_5755,doc_5755_chunk_0037,slurmdbd daemon,daemon,"The text refers to the slurmdbd as a daemon, making it a specific form of daemon."
75,doc_5755,doc_5755_chunk_0047,full-system job,job,"The text describes a full-system job as a specific type of job that requires special handling, such as suspending other jobs to run it."
76,doc_5755,doc_5755_chunk_0049,EpilogSlurmctld,Epilog,"The text describes EpilogSlurmctld as a specific form of Epilog, as it is mentioned as a potential place to write a job summary."
77,doc_5755,doc_5755_chunk_0053,job's namespace,namespace,"The text describes the job's namespace as being constructed by the tmpfs plugin, making it a specific kind of namespace."
78,doc_5755,doc_5755_chunk_0053,user's process,process,"In the context of ssh sessions managed by pam_slurm_adopt, the user's process joins the namespace that is constructed by the tmpfs plugin, making it a specific kind of process."
79,doc_5755,doc_5755_chunk_0054,Slurm job epilog script,Slurm job,"The text mentions that a Slurm job requires a script to free any user memory, implying that the script is a specific type of job."
80,doc_5d35,doc_5d35_chunk_0003,heterogeneous job,job,"The text describes a heterogeneous job as a type of job that can run in multiple clusters and is subject to resource limit tests and QOS limits, making it a specific kind of job."
81,doc_5d35,doc_5d35_chunk_0003,persistent burst buffer,Burst Buffer,"The text specifies that a persistent burst buffer can be accessed by all components of a heterogeneous job, making it a specific type of burst buffer."
82,doc_5d35,doc_5d35_chunk_0005,heterogeneous job leader,heterogeneous job,"The text describes that a request for a specific job ID that identifies the 'heterogeneous job leader' will return information about all components of that job, implying that the leader is a specific form of the job."
83,doc_5d35,doc_5d35_chunk_0010,heterogeneous job,job,The text describes a heterogeneous job as a specific type of job that requires allocation on different nodes and is only scheduled by the backfill scheduler plugin.
84,doc_5d35,doc_5d35_chunk_0010,job array of heterogeneous jobs,job array,"The text states that job arrays of heterogeneous jobs are not supported, implying that job arrays of heterogeneous jobs is a specific type of job array."
85,doc_5d35,doc_5d35_chunk_0011,heterogeneous jobs,jobs,"The text states that heterogeneous jobs are only scheduled by the backfill scheduler plugin, which implies they are a specific type of job."
86,doc_5d35,doc_5d35_chunk_0013,heterogeneous job,job,The text describes heterogeneous jobs as a specific type of job that has multiple components with unique start times and resource limits.
87,doc_5d35,doc_5d35_chunk_0013,Job component,job,"The text refers to individual parts of a heterogeneous job as Job components, making them a specific form of job."
88,doc_5d35,doc_5d35_chunk_0013,expected start time data,data,"The text describes expected start time data as information related to job scheduling, which can be considered a specific type of data."
89,doc_5d35,doc_5d35_chunk_0014,heterogeneous job components,job,"Each component of a heterogeneous job counts as a 'job' with respect to resource limits, as stated in the text."
90,doc_61ca,doc_61ca_chunk_0001,Slurm PrEp plugins,prep plugins,The text describes Slurm PrEp plugins as a specific type of prep plugins.
91,doc_6722,doc_6722_chunk_0001,persistent burst buffer,Burst Buffer,"The text explains that Slurm provides support for allocating persistent burst buffers, which are a specific type of burst buffer."
92,doc_6722,doc_6722_chunk_0004,burst_buffer/lua,burst_buffer,"The text explains that the lua plugin calls a single script which must be named burst_buffer.lua, making burst_buffer/lua a specific type of burst_buffer."
93,doc_6722,doc_6722_chunk_0007,JSON-formatted string defining the pools,JSON-formatted,"The text describes the JSON-formatted string as a specific type of JSON-formatted string, as it contains a structure defining the pools."
94,doc_6722,doc_6722_chunk_0009,capacity specification,capacity,"The text defines a capacity specification as a number indicating the amount of space required from the pool, which is a more specific description of the concept of capacity."
95,doc_6722,doc_6722_chunk_0018,configuring flag,flag,The text describes the configuring flag as a specific type of flag that is cleared when pre-run finishes.
96,doc_6722,doc_6722_chunk_0018,burst buffer state,state,The text refers to burst buffer state as a specific type of state that changes during the lifecycle of a job.
97,doc_6722,doc_6722_chunk_0018,Job State,state,The text refers to Job State as a specific type of state that represents the current status of a job.
98,doc_6722,doc_6722_chunk_0019,teardown-fail,teardown,"The text mentions that teardown-fail is a specific type of teardown, as it restarts teardown when it fails."
99,doc_6b88,doc_6b88_chunk_0002,authenticating proxy,proxy,"The text refers to an authenticating proxy as a versatile option that can use any authentication system, making it a specific type of proxy."
100,doc_6b88,doc_6b88_chunk_0003,JWT key,key,The text describes the JWT key as a specific type of key used for authentication purposes.
101,doc_6b88,doc_6b88_chunk_0003,RS256 token,token,The text mentions RS256 tokens as a type of token supported by Slurm starting from version 21.08.
102,doc_6b88,doc_6b88_chunk_0004,RSA 256 bit keys,256 bit keys,"The text specifies that JWKS has signing keys that receive trust by being placed in the jwks.json, and these keys are RSA 256 bit keys."
103,doc_6b88,doc_6b88_chunk_0007,SLURM_JWT,JWT,"The script uses the JWT library to encode and decode SLURM_JWT, making it a specific type of JWT."
104,doc_732b,doc_732b_chunk_0008,Slurm built-in X11 forwarding support,X11 forwarding,"The text describes Slurm's X11 forwarding support as a configurable value, implying it is a specific type of X11 forwarding."
105,doc_732b,doc_732b_chunk_0008,job_container/tmpfs plugin,plugin,"The text refers to the job_container/tmpfs plugin as a configurable value, implying it is a specific type of plugin."
106,doc_7940,doc_7940_chunk_0001,job ID,ID,"The job ID is unique among all clusters in the federation, making it a specific type of ID."
107,doc_7940,doc_7940_chunk_0008,Revoked (RV) State,State,"The text describes Revoked (RV) State as a specific state that the origin job can be in, making it a subtype of State."
108,doc_7940,doc_7940_chunk_0009,Job arrays,job,Job arrays are a specific type of job that only run on the cluster they were submitted to.
109,doc_8186,doc_8186_chunk_0004,TLS proxy,proxy,The text describes a TLS proxy as a specific type of proxy that wraps all communications with TLS v1.3 (or later) and is used to secure Slurm REST API communications.
110,doc_8186,doc_8186_chunk_0004,JWT tokens,tokens,"The text explicitly states that JWT can be used to authenticate users over REST protocol, making JWT tokens a specific type of tokens used for authentication."
111,doc_8186,doc_8186_chunk_0006,third-party authenticating proxy,authenticating proxy,"The text describes third-party authenticating proxies as being used, which are a type of authenticating proxy."
112,doc_85cb,doc_85cb_chunk_0002,Remote licenses,licenses,"The text describes Remote licenses as a specific type of licenses that do not offer integration with third-party license managers, while regular licenses may or may not have such integration."
113,doc_85cb,doc_85cb_chunk_0002,batch job,job,"The text refers to a submitted batch job, which is a specific type of job that is submitted through the sbatch command."
114,doc_868e,doc_868e_chunk_0004,Slurm Plug-in Architecture for Node and job (K)control (SPANK),Slurm,The text explicitly states that SPANK is a plug-in architecture for Slurm.
115,doc_8ca0,doc_8ca0_chunk_0007,SuspendProgram,program,"The SuspendProgram is a specific type of program that executes to place nodes into power saving mode. It is executed as SlurmUser, as configured in slurm.conf."
116,doc_8ca0,doc_8ca0_chunk_0008,PowerDownOnIdle (partition parameter),PowerDownOnIdle,"The text specifies that PowerDownOnIdle is a parameter of a partition, making it a specific form of PowerDownOnIdle."
117,doc_8ca0,doc_8ca0_chunk_0008,node name containing a numeric suffix,node name,"The text recommends node names containing a numeric suffix for convenience, so it is a specific form of node name."
118,doc_8ca0,doc_8ca0_chunk_0008,CLOUD (node state),node state,"The text states that nodes which are to be added on demand should have a state of CLOUD, making it a specific form of node state."
119,doc_8ca0,doc_8ca0_chunk_0013,ResumeProgram,Program,"The text describes ResumeProgram as a specific type of program that resumes suspended jobs, making it a subclass of Program."
120,doc_8ca0,doc_8ca0_chunk_0013,SuspendProgram,Program,"The text mentions SuspendProgram as a program that suspends jobs, making it a subclass of Program."
121,doc_8ca0,doc_8ca0_chunk_0013,Resource allocation request,Request,"The text refers to a resource allocation request, which is a specific type of request made to the HPC system for resources, making it a subclass of Request."
122,doc_8ca0,doc_8ca0_chunk_0013,Job steps,Step,"The text mentions job steps, which are specific actions or tasks within a job, making them a subclass of Step."
123,doc_8ca0,doc_8ca0_chunk_0016,PartitionName,partition,"The text describes PartitionName as a specific type of partition, as it is a named group of nodes with shared limits and QOS."
124,doc_8ca0,doc_8ca0_chunk_0016,NodeName,node,"The text refers to NodeName as a specific name given to a node, making it a specific form of node."
125,doc_8f5e,doc_8f5e_chunk_0003,slurmctld upgrade,slurmctld,The text describes the slurmctld upgrade as a specific action taken on the slurmctld daemon.
126,doc_8f5e,doc_8f5e_chunk_0003,slurmd upgrade,slurmd,The text describes the slurmd upgrade as a specific action taken on the slurmd daemon.
127,doc_8f5e,doc_8f5e_chunk_0003,slurmdbd upgrade,slurmdbd,The text describes the slurmdbd upgrade as a specific action taken on the slurmdbd daemon.
128,doc_8f5e,doc_8f5e_chunk_0003,minor Upgrades,Upgrade,The text describes minor Upgrades as a specific type of Upgrade.
129,doc_8f5e,doc_8f5e_chunk_0007,backup slurmdbd host,backup,"The text describes a backup slurmdbd host as a backup of the primary slurmdbd, making it a specific type of backup."
130,doc_8f5e,doc_8f5e_chunk_0008,slurmdbd daemon,slurmdbd,"The text refers to the slurmdbd daemon as the process being started, making it a specific form of slurmdbd."
131,doc_8f5e,doc_8f5e_chunk_0008,backup slurmdbd daemon,slurmdbd daemon,"The text mentions a backup slurmdbd daemon, which is a specific type of slurmdbd daemon."
132,doc_8f5e,doc_8f5e_chunk_0008,SlurmUser,user,The text refers to SlurmUser as a specific user account used for Slurm operations.
133,doc_8f5e,doc_8f5e_chunk_0009,SlurmctldTimeout,timeout,"The text mentions SlurmctldTimeout as a configurable timeout value, which is a specific type of timeout."
134,doc_8f5e,doc_8f5e_chunk_0009,SlurmdTimeout,timeout,"The text mentions SlurmdTimeout as a configurable timeout value, which is a specific type of timeout."
135,doc_8f5e,doc_8f5e_chunk_0009,slurmctld daemon,slurmctld,"The text refers to the slurmctld daemon as the controller process, making it a specific form of slurmctld."
136,doc_8f5e,doc_8f5e_chunk_0010,slurmd (Compute Nodes),slurmd,"The text specifies that slurmd (Compute Nodes) is the preferred or possible target for an upgrade, making it a specific form of slurmd."
137,doc_8f5e,doc_8f5e_chunk_0011,rolling upgrade,upgrade,"The text describes a rolling upgrade as a specific type of upgrade, where nodes are upgraded in groups."
138,doc_8f5e,doc_8f5e_chunk_0011,new timeout,timeout,The text refers to a new timeout value as a specific instance of a timeout.
139,doc_8f5e,doc_8f5e_chunk_0011,slurmd daemons,daemons,"The text specifically mentions slurmd daemons, making them a specific type of daemons."
140,doc_8f5e,doc_8f5e_chunk_0012,locally developed Slurm plugins,Slurm plugins,"The text mentions that locally developed plugins will likely need modification to support the new version of Slurm, indicating that they are a specific type of Slurm plugins."
141,doc_8f5e,doc_8f5e_chunk_0013,symbolic link,link,The text refers to a symbolic link as a specific type of link used to point to a unique directory.
142,doc_915b,doc_915b_chunk_0001,munge user,user,"The text mentions a 'munge' user, which is a specific type of user."
143,doc_915b,doc_915b_chunk_0004,Base64url encoded binary blob,binary blob,"The text describes the 'k' field as a Base64 or Base64url encoded binary blob, making it a specific type of binary blob."
144,doc_915b,doc_915b_chunk_0004,default key,key,"The text specifies that there can only be one 'default key', making it a specific type of key."
145,doc_96c0,doc_96c0_chunk_0004,slurmd daemon,slurmd,The text describes 'slurmd daemon' as a specific process of 'slurmd' that starts on each compute node.
146,doc_977e,doc_977e_chunk_0003,ReservationName,name,The text refers to ReservationName as a specific type of name assigned to a reservation.
147,doc_977e,doc_977e_chunk_0006,maintenance reservation,reservation,The text describes maintenance reservations as a specific type of reservation that can overlap with other reservations and is used for system maintenance.
148,doc_977e,doc_977e_chunk_0006,reservation with the 'NO_HOLD_JOBS_AFTER_END' flag,reservation,The text describes a reservation with the 'NO_HOLD_JOBS_AFTER_END' flag as a specific type of reservation that lets jobs run outside of the reservation after it ends.
149,doc_9ca6,doc_9ca6_chunk_0001,Hierarchical Resources,resources,"The text describes Hierarchical Resources as defined in the configuration file (resources.yaml), making them a specific type of resources."
150,doc_9ca6,doc_9ca6_chunk_0002,layer with an infinite count of a resource,layer,"The text states that a layer with an infinite count of a resource will have no impact on scheduling and would be semantically equivalent to removing that layer definition, implying that it is a specific type of layer."
151,doc_9ca6,doc_9ca6_chunk_0002,flat resource,resource,"The text describes a flat resource as one that can be allocated from all levels that include the requested nodes, making it a specific type of resource."
152,doc_9fd4,doc_9fd4_chunk_0001,Job Step Exit Codes,exit code,"The text mentions that when a job contains multiple job steps, the exit code of each executable invoked by srun is saved individually to the job step record, implying that Job Step Exit Codes are a specific type of exit codes."
153,doc_9fd4,doc_9fd4_chunk_0003,DerivedExitCode,ExitCode,"The text describes DerivedExitCode as a modification or annotation of the ExitCode, making it a specific form of ExitCode."
154,doc_ac8b,doc_ac8b_chunk_0005,site factor,factor,"The site factor is a factor that can be set using scontrol or a site_factor plugin, making it a specific type of factor."
155,doc_ac8b,doc_ac8b_chunk_0005,TRES Factors,factor,"Each TRES Type has its own priority factor, making TRES Factors a specific type of factor."
156,doc_b00c,doc_b00c_chunk_0003,SwitchName=s4,Switch,"The text describes SwitchName=s4 as a switch, and it has switches as its children, making it a specific type of switch."
157,doc_b2f9,doc_b2f9_chunk_0006,gres/gpumem,GRES,"The text states that gres/gpumem is a type of GRES, as it is a resource that can be tracked and managed by Slurm."
158,doc_b2f9,doc_b2f9_chunk_0006,gres/gpuutil,GRES,"Similarly, gres/gpuutil is also a type of GRES, as it is a resource that can be tracked and managed by Slurm."
159,doc_b2f9,doc_b2f9_chunk_0008,GPU device files,device files,"The text describes GPU device files as specific types of device files, as they are based on the Linux minor number assignment."
160,doc_b2f9,doc_b2f9_chunk_0008,MPS configuration,configuration,"The text refers to MPS configuration as a specific type of configuration, as it is related to the CUDA Multi-Process Service."
161,doc_b2f9,doc_b2f9_chunk_0008,gres/mps resources,resources,"The text describes gres/mps resources as a specific type of resources, as they are related to the CUDA Multi-Process Service."
162,doc_b2f9,doc_b2f9_chunk_0009,job request for MPS,job request,"The text mentions job requests for MPS, which is a specific type of job request that requires fitting on a single gpu on each node."
163,doc_b2f9,doc_b2f9_chunk_0012,gpu:a100_3g.20gb,gpu,
164,doc_b2f9,doc_b2f9_chunk_0013,shard configuration with Name and Count parameters,Shard configuration,"The text describes a specific type of Shard configuration where the Name and Count parameters are used, making it a more specific subclass."
165,doc_b2f9,doc_b2f9_chunk_0013,"shard configuration with Name, File and Count parameters",Shard configuration,"The text describes a specific type of Shard configuration where the Name, File and Count parameters are used, making it a more specific subclass."
166,doc_b2f9,doc_b2f9_chunk_0013,gres/shard resources,GRES,"The text refers to gres/shard resources as a specific type of GRES, as they are used for GPU sharing."
167,doc_c721,doc_c721_chunk_0001,Fair Tree algorithm,algorithm,"The text states that the Fair Tree algorithm is now the default, implying it is a specific type of algorithm."
168,doc_c8a9,doc_c8a9_chunk_0004,Gang scheduler,scheduler,"The text describes the Gang scheduler as a scheduler that performs time slicing of jobs in the same partition and resumes suspended jobs, making it a specific type of scheduler."
169,doc_c8a9,doc_c8a9_chunk_0008,shadow jobs,job,The 'shadow' jobs are high priority job allocations that 'cast shadows' on the active bitmaps of the low priority jobs.
170,doc_c8a9,doc_c8a9_chunk_0011,hipri job,job,"The text refers to a 'hipri' job, which is a specific type of job submitted using the 'sbatch' command."
171,doc_c8a9,doc_c8a9_chunk_0011,active partition,partition,"The text mentions 'active' partitions, which are a specific type of partition that are currently up and running."
172,doc_c8a9,doc_c8a9_chunk_0011,allocated nodes,nodes,"The text describes nodes that are allocated to partitions, which is a specific state of nodes within a partition."
173,doc_c8a9,doc_c8a9_chunk_0011,idle nodes,nodes,"The text mentions idle nodes, which are a specific state of nodes within a partition."
174,doc_cc8b,doc_cc8b_chunk_0005,Billing TRES,TRES,"The text describes Billing TRES as a specific type of TRES, as it is calculated based on the TRES of each node and the time frame."
175,doc_cc8b,doc_cc8b_chunk_0005,Reported Billing TRES,Billing TRES,"The text explains that the Reported Billing TRES is calculated from the largest Billing TRES of each node multiplied by the time frame, making it a specific type of Billing TRES."
176,doc_ce7f,doc_ce7f_chunk_0010,AuthType set to slurm,AuthType,"The text explicitly states that AuthType can be set to slurm, making it a specific value of AuthType."
177,doc_ce7f,doc_ce7f_chunk_0010,multifactor plugin,plugin,The text describes the multifactor plugin as a specific type of plugin that assigns a priority to jobs based on various configuration parameters.
178,doc_ce7f,doc_ce7f_chunk_0012,SlurmUser,user,"The text specifies that SlurmUser must be created as needed prior to starting Slurm, implying that it is a specific type of user."
179,doc_d199,doc_d199_chunk_0003,compiled client code,client code,"The text suggests that developers may want to have a somewhat static set of compiled client code in their client's code repository, implying that compiled client code is a specific type of client code."
180,doc_d199,doc_d199_chunk_0004,/slurmdb/ paths,paths,"The text states that /slurmdb/ paths are automatically not included if slurmdbd accounting is not configured, implying they are a specific type of path."
181,doc_d41b,doc_d41b_chunk_0004,association specific limits,limits,"The text describes association specific limits as a type of limits, as they are a set of constraints applied to Associations."
182,doc_d41b,doc_d41b_chunk_0004,scheduling policies (Association specific),scheduling policies,"The text refers to scheduling policies specific to Associations, making them a subtype of scheduling policies."
183,doc_d41b,doc_d41b_chunk_0004,user association,association,"The text mentions user association as a specific type of association, as it is a user-related association."
184,doc_d41b,doc_d41b_chunk_0004,partition records,records,The text describes partition records as a type of records that can be created and deleted using sacctmgr.
185,doc_d41b,doc_d41b_chunk_0014,gres/gpu:tesla,gres/gpu,"The text mentions 'gres/gpu:tesla' as a specific type of 'gres/gpu', as it is defined separately in slurm.conf for accounting purposes."
186,doc_d41b,doc_d41b_chunk_0014,Job Reason Codes,Job,"Job Reason Codes are assigned to jobs when they exceed a configured resource limit, making them a specific type of job attribute."
187,doc_d9be,doc_d9be_chunk_0001,PartitionName,partition,"The text defines a partitionName as a name given to a partition, making it a specific type of partition."
