id,seed_chunk_id,cq_text,supporting_chunk_ids_json,terms_used_json,model_id,raw_json
11,doc_04b1_chunk_0002,What is the default partition for jobs submitted to the HPC system using SLURM?,"[""doc_04b1_chunk_0002""]","[""default"", ""partition"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the HPC system using SLURM?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0002""], ""terms_used"": [""default"", ""partition"", ""SLURM""]}"
12,doc_04b1_chunk_0002,What is the purpose of the '--exclusive' option when submitting a job to the HPC system using SLURM?,"[""doc_04b1_chunk_0002""]","[""--exclusive"", ""option"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the purpose of the '--exclusive' option when submitting a job to the HPC system using SLURM?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0002""], ""terms_used"": [""--exclusive"", ""option"", ""SLURM""]}"
13,doc_04b1_chunk_0003,What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a time?,"[""doc_04b1_chunk_0003""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a time?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0003""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
14,doc_04b1_chunk_0004,What is the maximum number of jobs that can be submitted to the SLURM scheduler at a single time?,"[""doc_04b1_chunk_0004""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM scheduler at a single time?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0004""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
15,doc_04b1_chunk_0004,What is the default partition for jobs submitted to the SLURM scheduler if no partition is specified?,"[""doc_04b1_chunk_0004""]","[""SLURM"", ""default"", ""partition"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the SLURM scheduler if no partition is specified?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0004""], ""terms_used"": [""SLURM"", ""default"", ""partition"", ""submitted""]}"
16,doc_04b1_chunk_0004,What command option is used to specify the number of CPUs for a job submitted to the SLURM scheduler?,"[""doc_04b1_chunk_0004""]","[""SLURM"", ""command"", ""option"", ""CPUs"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command option is used to specify the number of CPUs for a job submitted to the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0004""], ""terms_used"": [""SLURM"", ""command"", ""option"", ""CPUs"", ""job""]}"
17,doc_04b1_chunk_0005,"What is the maximum number of jobs that can be submitted to the HPC system at a time, according to the SLURM documentation?","[""doc_04b1_chunk_0005""]","[""maximum"", ""jobs"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the HPC system at a time, according to the SLURM documentation?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0005""], ""terms_used"": [""maximum"", ""jobs"", ""SLURM""]}"
18,doc_04b1_chunk_0005,"What is the default partition for jobs submitted to the HPC system using SLURM, as specified in the documentation?","[""doc_04b1_chunk_0005""]","[""default"", ""partition"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the HPC system using SLURM, as specified in the documentation?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0005""], ""terms_used"": [""default"", ""partition"", ""SLURM""]}"
19,doc_04b1_chunk_0005,"What command option in SLURM is used to specify the number of CPUs for a job, as mentioned in the documentation?","[""doc_04b1_chunk_0005""]","[""command option"", ""CPUs"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command option in SLURM is used to specify the number of CPUs for a job, as mentioned in the documentation?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0005""], ""terms_used"": [""command option"", ""CPUs"", ""SLURM""]}"
20,doc_04b1_chunk_0007,What command is used to submit a job to the SLURM scheduler?,"[""doc_04b1_chunk_0007""]","[""SLURM"", ""command"", ""submit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0007""], ""terms_used"": [""SLURM"", ""command"", ""submit"", ""job""]}"
21,doc_05b9_chunk_0001,What is the default partition for jobs submitted to the SLURM scheduler?,"[""doc_05b9_chunk_0001""]","[""SLURM"", ""default"", ""partition"", ""jobs""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0001""], ""terms_used"": [""SLURM"", ""default"", ""partition"", ""jobs""]}"
22,doc_05b9_chunk_0002,What is the default state of a job in the SLURM scheduler when it is not running?,"[""doc_05b9_chunk_0002""]","[""SLURM"", ""job"", ""default"", ""state"", ""running""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default state of a job in the SLURM scheduler when it is not running?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0002""], ""terms_used"": [""SLURM"", ""job"", ""default"", ""state"", ""running""]}"
23,doc_05b9_chunk_0003,What is the default state of a job in the SLURM scheduler when it is waiting to be executed?,"[""doc_05b9_chunk_0003""]","[""SLURM"", ""job"", ""default"", ""state"", ""waiting"", ""executed""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default state of a job in the SLURM scheduler when it is waiting to be executed?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0003""], ""terms_used"": [""SLURM"", ""job"", ""default"", ""state"", ""waiting"", ""executed""]}"
24,doc_05b9_chunk_0004,What is the default time limit for a job running on the SLURM job scheduler?,"[""doc_05b9_chunk_0004""]","[""SLURM"", ""default"", ""time"", ""limit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the SLURM job scheduler?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0004""], ""terms_used"": [""SLURM"", ""default"", ""time"", ""limit"", ""job""]}"
25,doc_05b9_chunk_0005,What is the default state of a job in the SLURM job scheduler when it is completed?,"[""doc_05b9_chunk_0005""]","[""SLURM"", ""job"", ""completed"", ""default state""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default state of a job in the SLURM job scheduler when it is completed?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0005""], ""terms_used"": [""SLURM"", ""job"", ""completed"", ""default state""]}"
26,doc_05b9_chunk_0005,What command is used in SLURM to cancel a job that is currently running?,"[""doc_05b9_chunk_0005""]","[""SLURM"", ""cancel"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used in SLURM to cancel a job that is currently running?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0005""], ""terms_used"": [""SLURM"", ""cancel"", ""job""]}"
27,doc_05b9_chunk_0006,What command is used in SLURM to cancel a running job?,"[""doc_05b9_chunk_0006""]","[""SLURM"", ""command"", ""cancel"", ""running"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used in SLURM to cancel a running job?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0006""], ""terms_used"": [""SLURM"", ""command"", ""cancel"", ""running"", ""job""]}"
28,doc_05b9_chunk_0007,What is the default value for the SLURM partition that a user can specify when submitting a job?,"[""doc_05b9_chunk_0007""]","[""default"", ""partition"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default value for the SLURM partition that a user can specify when submitting a job?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0007""], ""terms_used"": [""default"", ""partition"", ""SLURM""]}"
29,doc_05b9_chunk_0007,"What command is used to cancel a job in the SLURM job scheduler, and what is the syntax for cancelling a job with a specific job ID?","[""doc_05b9_chunk_0007""]","[""cancel"", ""job"", ""SLURM"", ""job ID""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to cancel a job in the SLURM job scheduler, and what is the syntax for cancelling a job with a specific job ID?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0007""], ""terms_used"": [""cancel"", ""job"", ""SLURM"", ""job ID""]}"
30,doc_05b9_chunk_0010,What command is used to cancel a job in the SLURM job scheduler?,"[""doc_05b9_chunk_0010""]","[""SLURM"", ""command"", ""cancel"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to cancel a job in the SLURM job scheduler?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0010""], ""terms_used"": [""SLURM"", ""command"", ""cancel"", ""job""]}"
31,doc_05b9_chunk_0011,What is the default state of a job in the SLURM scheduler queue when it is first submitted?,"[""doc_05b9_chunk_0011""]","[""SLURM"", ""job"", ""queue"", ""default"", ""state""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default state of a job in the SLURM scheduler queue when it is first submitted?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0011""], ""terms_used"": [""SLURM"", ""job"", ""queue"", ""default"", ""state""]}"
32,doc_05b9_chunk_0013,What command option in SLURM is used to request a specific number of nodes for a job submission?,"[""doc_05b9_chunk_0013""]","[""command option"", ""nodes"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command option in SLURM is used to request a specific number of nodes for a job submission?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0013""], ""terms_used"": [""command option"", ""nodes"", ""SLURM""]}"
33,doc_05b9_chunk_0014,What command or option is used in SLURM to specify the number of CPUs a job should use?,"[""doc_05b9_chunk_0014""]","[""SLURM"", ""command"", ""CPUs"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command or option is used in SLURM to specify the number of CPUs a job should use?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0014""], ""terms_used"": [""SLURM"", ""command"", ""CPUs"", ""job""]}"
34,doc_05b9_chunk_0015,What is the maximum number of tasks that can be submitted to the SLURM job scheduler at a single time?,"[""doc_05b9_chunk_0015""]","[""SLURM"", ""maximum"", ""tasks""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of tasks that can be submitted to the SLURM job scheduler at a single time?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0015""], ""terms_used"": [""SLURM"", ""maximum"", ""tasks""]}"
35,doc_05b9_chunk_0020,"What is the default value for the SLURM partition that a user can submit jobs to, as stated in the documentation?","[""doc_05b9_chunk_0020""]","[""default"", ""partition"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default value for the SLURM partition that a user can submit jobs to, as stated in the documentation?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0020""], ""terms_used"": [""default"", ""partition"", ""SLURM""]}"
36,doc_05b9_chunk_0020,"What command is used to submit a job to the SLURM scheduler, as mentioned in the provided documentation?","[""doc_05b9_chunk_0020""]","[""command"", ""submit"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the SLURM scheduler, as mentioned in the provided documentation?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0020""], ""terms_used"": [""command"", ""submit"", ""SLURM""]}"
37,doc_05b9_chunk_0023,"What is the default time limit for a job running on the HPC system using SLURM, as specified in the documentation?","[""doc_05b9_chunk_0023""]","[""default"", ""time limit"", ""job"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the HPC system using SLURM, as specified in the documentation?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0023""], ""terms_used"": [""default"", ""time limit"", ""job"", ""SLURM""]}"
38,doc_05b9_chunk_0023,"What command option in SLURM is used to request a specific number of CPUs for a job, as mentioned in the documentation?","[""doc_05b9_chunk_0023""]","[""command option"", ""specific number"", ""CPUs"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command option in SLURM is used to request a specific number of CPUs for a job, as mentioned in the documentation?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0023""], ""terms_used"": [""command option"", ""specific number"", ""CPUs"", ""SLURM""]}"
39,doc_05b9_chunk_0025,What is the default time limit for a job running on the SLURM scheduler?,"[""doc_05b9_chunk_0025""]","[""SLURM"", ""default"", ""time limit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_05b9_chunk_0025""], ""terms_used"": [""SLURM"", ""default"", ""time limit"", ""job""]}"
40,doc_05be_chunk_0001,What is the default partition for jobs submitted to the LSF job scheduler?,"[""doc_05be_chunk_0001""]","[""LSF"", ""default"", ""partition"", ""jobs""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the LSF job scheduler?"", ""supporting_chunk_ids"": [""doc_05be_chunk_0001""], ""terms_used"": [""LSF"", ""default"", ""partition"", ""jobs""]}"
41,doc_05be_chunk_0001,What is the minimum walltime that can be specified for a job submitted to the SLURM scheduler?,"[""doc_05be_chunk_0001""]","[""SLURM"", ""minimum"", ""walltime"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the minimum walltime that can be specified for a job submitted to the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_05be_chunk_0001""], ""terms_used"": [""SLURM"", ""minimum"", ""walltime"", ""job""]}"
42,doc_05be_chunk_0003,What is the maximum number of jobs that can be submitted to the SLURM queue at a time?,"[""doc_05be_chunk_0003""]","[""SLURM"", ""maximum"", ""jobs"", ""queue""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM queue at a time?"", ""supporting_chunk_ids"": [""doc_05be_chunk_0003""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""queue""]}"
43,doc_05be_chunk_0003,What is the default time limit for a job running on the SLURM cluster?,"[""doc_05be_chunk_0003""]","[""SLURM"", ""default"", ""time limit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the SLURM cluster?"", ""supporting_chunk_ids"": [""doc_05be_chunk_0003""], ""terms_used"": [""SLURM"", ""default"", ""time limit"", ""job""]}"
44,doc_05be_chunk_0003,What command is used to check the status of a job in the SLURM queue?,"[""doc_05be_chunk_0003""]","[""SLURM"", ""command"", ""status"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to check the status of a job in the SLURM queue?"", ""supporting_chunk_ids"": [""doc_05be_chunk_0003""], ""terms_used"": [""SLURM"", ""command"", ""status"", ""job""]}"
45,doc_05be_chunk_0004,What is the default time limit for a job running on the LSF job scheduler?,"[""doc_05be_chunk_0004""]","[""LSF"", ""default"", ""time limit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the LSF job scheduler?"", ""supporting_chunk_ids"": [""doc_05be_chunk_0004""], ""terms_used"": [""LSF"", ""default"", ""time limit"", ""job""]}"
46,doc_0117_chunk_0001,What is the maximum number of jobs that can be submitted to the HPC system at a time according to the SLURM documentation?,"[""doc_0117_chunk_0001""]","[""maximum"", ""jobs"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the HPC system at a time according to the SLURM documentation?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0001""], ""terms_used"": [""maximum"", ""jobs"", ""SLURM""]}"
47,doc_0117_chunk_0001,"What is the default time limit for a job running on the HPC system using SLURM, as specified in the documentation?","[""doc_0117_chunk_0001""]","[""default"", ""time limit"", ""job"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the HPC system using SLURM, as specified in the documentation?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0001""], ""terms_used"": [""default"", ""time limit"", ""job"", ""SLURM""]}"
48,doc_0117_chunk_0001,"What command is used to submit a job to the HPC system using SLURM, as described in the documentation?","[""doc_0111_chunk_0001""]","[""command"", ""submit"", ""job"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the HPC system using SLURM, as described in the documentation?"", ""supporting_chunk_ids"": [""doc_0111_chunk_0001""], ""terms_used"": [""command"", ""submit"", ""job"", ""SLURM""]}"
49,doc_0117_chunk_0002,What is the maximum number of tasks that can be submitted to the SLURM job scheduler at once?,"[""doc_0117_chunk_0002""]","[""SLURM"", ""maximum"", ""tasks""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of tasks that can be submitted to the SLURM job scheduler at once?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0002""], ""terms_used"": [""SLURM"", ""maximum"", ""tasks""]}"
50,doc_0117_chunk_0002,What is the default time limit for an LSF job in minutes?,"[""doc_0117_chunk_0002""]","[""LSF"", ""default"", ""time limit"", ""minutes""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for an LSF job in minutes?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0002""], ""terms_used"": [""LSF"", ""default"", ""time limit"", ""minutes""]}"
51,doc_0117_chunk_0002,What is the command to submit a job to the SLURM job scheduler with a specific number of CPUs and memory?,"[""doc_0111_chunk_0001"", ""doc_0111_chunk_0002""]","[""SLURM"", ""submit"", ""CPUs"", ""memory""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the command to submit a job to the SLURM job scheduler with a specific number of CPUs and memory?"", ""supporting_chunk_ids"": [""doc_0111_chunk_0001"", ""doc_0111_chunk_0002""], ""terms_used"": [""SLURM"", ""submit"", ""CPUs"", ""memory""]}"
52,doc_04b1_chunk_0001,What is the default partition for jobs submitted to the HPC system using SLURM?,"[""doc_04b1_chunk_0001""]","[""SLURM"", ""default"", ""partition"", ""jobs""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the HPC system using SLURM?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0001""], ""terms_used"": [""SLURM"", ""default"", ""partition"", ""jobs""]}"
53,doc_04b1_chunk_0001,What command option in SLURM is used to specify the number of CPUs for a job?,"[""doc_04b1_chunk_0001""]","[""SLURM"", ""command"", ""option"", ""CPUs"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command option in SLURM is used to specify the number of CPUs for a job?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0001""], ""terms_used"": [""SLURM"", ""command"", ""option"", ""CPUs"", ""job""]}"
54,doc_04b1_chunk_0002,What is the maximum number of jobs that can be submitted to the SLURM scheduler at a time?,"[""doc_04b1_chunk_0002""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM scheduler at a time?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0002""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
55,doc_04b1_chunk_0002,What command is used to submit a job to the SLURM scheduler?,"[""doc_04b1_chunk_0002""]","[""SLURM"", ""command"", ""submit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0002""], ""terms_used"": [""SLURM"", ""command"", ""submit"", ""job""]}"
56,doc_04b1_chunk_0002,What is the default partition for jobs submitted to the SLURM scheduler if no partition is specified?,"[""doc_04b1_chunk_0002""]","[""SLURM"", ""default"", ""partition"", ""jobs""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the SLURM scheduler if no partition is specified?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0002""], ""terms_used"": [""SLURM"", ""default"", ""partition"", ""jobs""]}"
57,doc_04b1_chunk_0003,What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a time?,"[""doc_04b1_chunk_0003""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a time?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0003""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
58,doc_04b1_chunk_0003,What command is used to submit a job to the SLURM job scheduler?,"[""doc_04b1_chunk_0003""]","[""SLURM"", ""command"", ""submit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the SLURM job scheduler?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0003""], ""terms_used"": [""SLURM"", ""command"", ""submit"", ""job""]}"
59,doc_04b1_chunk_0003,What is the default partition for jobs submitted to the SLURM job scheduler if no partition is specified?,"[""doc_04b1_chunk_0003""]","[""SLURM"", ""default"", ""partition"", ""jobs""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the SLURM job scheduler if no partition is specified?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0003""], ""terms_used"": [""SLURM"", ""default"", ""partition"", ""jobs""]}"
60,doc_04b1_chunk_0004,What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a single time?,"[""doc_04b1_chunk_0004""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a single time?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0004""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
61,doc_04b1_chunk_0005,What is the default time limit for a job running on the SLURM scheduler?,"[""doc_04b1_chunk_0005""]","[""SLURM"", ""default"", ""time"", ""limit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job running on the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0005""], ""terms_used"": [""SLURM"", ""default"", ""time"", ""limit"", ""job""]}"
62,doc_04b1_chunk_0006,What is the maximum number of jobs that can be submitted simultaneously in an SLURM cluster according to the configuration?,"[""doc_04b1_chunk_0006""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted"", ""simultaneously""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted simultaneously in an SLURM cluster according to the configuration?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0006""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted"", ""simultaneously""]}"
63,doc_04b1_chunk_0006,"What is the default time limit for a job to run in an SLURM cluster, as specified in the configuration?","[""doc_04b1_chunk_0006""]","[""SLURM"", ""default"", ""time limit"", ""job"", ""run""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default time limit for a job to run in an SLURM cluster, as specified in the configuration?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0006""], ""terms_used"": [""SLURM"", ""default"", ""time limit"", ""job"", ""run""]}"
