id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method,doc_id,sent_id,evidence_text
99,48,appropriate plugin,23,plugin,1.0,pattern_def,doc_4387,doc_4387_sent_00019,Just configure the appropriate plugin (e.g. JobCompType=jobcomp/filetxt) and then specify the pathname of the file (e.g. JobCompLoc=/var/log/slurm/job_completions).
101,84,slurmdbd plugin,23,plugin,1.0,pattern_def,doc_4387,doc_4387_sent_00028,"Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster"
103,83,mysql plugin,23,plugin,1.0,pattern_def,doc_4387,doc_4387_sent_00028,"Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster"
105,167,passwd file,52,file,1.0,pattern_def,doc_4387,doc_4387_sent_00045,"If not using MUNGE, you should add anyone you want to be an administrator or operator to the passwd file."
106,1064,following command,293,command,1.0,pattern_def,doc_4387,doc_4387_sent_00091,"You can also see how the tables are created by running the following command, where db_name is the name of your Slurm database (StorageLoc) set in your slurmdbd.conf:
mysql> SHOW TABLE STATUS IN db_name;
Slurm assumes that the default collation for the database and table columns is a case-insensitive one (also the default for MySQL databases)."
107,511,archive file,52,file,1.0,pattern_def,doc_4387,doc_4387_sent_00204,"If mysqldump is used to try to get the desired information, there will likely be a slight difference and when trying to load archive files later there will either be a gap in records or duplicate records that prevent the archive file from loading correctly."
108,538,sacctmgr command,293,command,1.0,pattern_def,doc_4387,doc_4387_sent_00213,"InfluxDB: Includes an exporter tool that collects performance metrics from Slurm.
Prometheus : Includes an exporter tool that collects performance metrics from Slurm.
Database Configuration
Accounting records are maintained based upon what we refer to as an Association, which consists of four elements: cluster, account, user names and an optional partition name. Use the sacctmgr command to create and manage these records."
109,647,jobacctgather plugin,23,plugin,1.0,pattern_def,doc_4387,doc_4387_sent_00257,"The JobAcctGather plugin gathers metrics for some Trackable Resources (TRES), like cpu, memory, energy, etc., at a given interval in the JobAcctGatherFrequency defined in slurm.conf, or by using the --acct-freq option in the command line."
113,2036,select plugin,23,plugin,1.0,pattern_def,doc_d9be,doc_d9be_sent_00037,Defines the consumable resource type and controls other aspects of CPU resource allocation by the select plugin.
115,2088,same node,38,node,1.0,pattern_def,doc_d9be,doc_d9be_sent_00049,Different tasks distributed to the same node may be bound to the same subset of CPUs or to different subsets.
116,2102,task plugin,23,plugin,1.0,pattern_def,doc_d9be,doc_d9be_sent_00051,Step 4 is performed by slurmd and the task plugin.
117,2150,cons_tre plugin,23,plugin,1.0,pattern_def,doc_d9be,doc_d9be_sent_00075,"State=IDLE
PartitionName=regnodes Nodes=n0,n1,n2 OverSubscribe=YES Default=YES State=UP
PartitionName=hypernode Nodes=n3 State=UP
These examples show the use of the cons_tres plugin."
122,2177,first node,38,node,1.0,pattern_def,doc_d9be,doc_d9be_sent_00098,"The options specify the following conditions for the job: 8 tasks, 2 unique CPUs per task, using all 3 nodes in the partition. To satisfy these conditions using the default allocation method across nodes (block), Slurm allocates 8 CPUs from the first node, 6 CPUs from the second node and 2 CPUs from the third node."
123,2178,second node,38,node,1.0,pattern_def,doc_d9be,doc_d9be_sent_00098,"The options specify the following conditions for the job: 8 tasks, 2 unique CPUs per task, using all 3 nodes in the partition. To satisfy these conditions using the default allocation method across nodes (block), Slurm allocates 8 CPUs from the first node, 6 CPUs from the second node and 2 CPUs from the third node."
125,2179,third node,38,node,1.0,pattern_def,doc_d9be,doc_d9be_sent_00100,"So, for example, only 1 task is distributed to the third node because only 2 CPUs were allocated on that node and each task requires 2 CPUs."
133,2155,default partition,216,partition,1.0,pattern_def,doc_d9be,doc_d9be_sent_00156,Run the job in a single node in the default partition.
