edge_id,doc_id,chunk_id,subject,predicate,object,relation_type,justification,raw_json
11,doc_7ceb,doc_7ceb_chunk_0036,checking configuration files,uses_resource,lsb.hosts,data_flow,The text mentions that checking configuration files is performed on lsb.hosts during host removal.,"{
  ""relations"": [
    {
      ""subject"": ""checking configuration files"",
      ""predicate"": ""uses_resource"",
      ""object"": ""lsb.hosts"",
      ""relation_type"": ""data_flow"",
      ""justification"": ""The text mentions that checking configuration files is performed on lsb.hosts during host removal.""
    }
  ]
}"
12,doc_7ceb,doc_7ceb_chunk_0038,conﬁgdir,contains_file,lsb.queues file,data_flow,The text states that the conﬁgdir directory contains the lsb.queues file.,"{
  ""relations"": [
    {
      ""subject"": ""conﬁgdir"",
      ""predicate"": ""contains_file"",
      ""object"": ""lsb.queues file"",
      ""relation_type"": ""data_flow"",
      ""justification"": ""The text states that the conﬁgdir directory contains the lsb.queues file.""
    }
  ]
}"
13,doc_7ceb,doc_7ceb_chunk_0040,bswitch,used_by,night,usage,"The text mentions that bswitch command is used to switch jobs between queues, and 'night' is a queue name.","{
  ""relations"": [
    {
      ""subject"": ""bswitch"",
      ""predicate"": ""used_by"",
      ""object"": ""night"",
      ""relation_type"": ""usage"",
      ""justification"": ""The text mentions that bswitch command is used to switch jobs between queues, and 'night' is a queue name.""
    }
  ]
}"
14,doc_7ceb,doc_7ceb_chunk_0052,/etc/hosts,configures_via,management host LIM,configuration,"The text states that if the management host LIM is configured with the host name that is assigned to the loopback IP address in the /etc/hosts file, it can cause issues.","{
  ""relations"": [
    {
      ""subject"": ""/etc/hosts"",
      ""predicate"": ""configures_via"",
      ""object"": ""management host LIM"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text states that if the management host LIM is configured with the host name that is assigned to the loopback IP address in the /etc/hosts file, it can cause issues.""
    }
  ]
}"
15,doc_7ceb,doc_7ceb_chunk_0065,request,depends_on,saveIndx,configuration,"The text mentions an external load index name that is not defined in the lsf.shared file, which is a configuration parameter in LSF.","{
  ""relations"": [
    {
      ""subject"": ""request"",
      ""predicate"": ""depends_on"",
      ""object"": ""saveIndx"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text mentions an external load index name that is not defined in the lsf.shared file, which is a configuration parameter in LSF.""
    }
  ]
}"
16,doc_7ceb,doc_7ceb_chunk_0066,renewJob,provides_configuration_to,jobId,provision,The text mentions that mbatchd failed in trying to resubmit a re-runnable job using the jobId.,"{
  ""relations"": [
    {
      ""subject"": ""renewJob"",
      ""predicate"": ""provides_configuration_to"",
      ""object"": ""jobId"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text mentions that mbatchd failed in trying to resubmit a re-runnable job using the jobId.""
    }
  ]
}"
17,doc_7ceb,doc_7ceb_chunk_0069,LSF_ENABLE_EGO,configures_via,vemkd daemon,configuration,"The text mentions that EGO (Environment Management System) cannot be run because it is not enabled in lsf.conf, and vemkd daemon is responsible for managing job submission and execution.","{
  ""relations"": [
    {
      ""subject"": ""LSF_ENABLE_EGO"",
      ""predicate"": ""configures_via"",
      ""object"": ""vemkd daemon"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text mentions that EGO (Environment Management System) cannot be run because it is not enabled in lsf.conf, and vemkd daemon is responsible for managing job submission and execution.""
    }
  ]
}"
18,doc_d9be,doc_d9be_chunk_0003,cons_tres,provision,cores,provision,"The text states that when using cons_tres, the default allocation method across nodes is block allocation (allocate all available CPUs in a node before using another node), which implies that cons_tres provides cores.","{
  ""relations"": [
    {
      ""subject"": ""cons_tres"",
      ""predicate"": ""provision"",
      ""object"": ""cores"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text states that when using cons_tres, the default allocation method across nodes is block allocation (allocate all available CPUs in a node before using another node), which implies that cons_tres provides cores.""
    },
    {
      ""subject"": ""cons_tres"",
      ""predicate"": ""provision"",
      ""object"": ""logical CPUs"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text states that the choice of allocation methods may influence which specific CPUs are allocated to the job/step, which implies that cons_tres provides logical CPUs.""
    }
  ]
}"
19,doc_d9be,doc_d9be_chunk_0003,cons_tres,provision,logical CPUs,provision,"The text states that the choice of allocation methods may influence which specific CPUs are allocated to the job/step, which implies that cons_tres provides logical CPUs.","{
  ""relations"": [
    {
      ""subject"": ""cons_tres"",
      ""predicate"": ""provision"",
      ""object"": ""cores"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text states that when using cons_tres, the default allocation method across nodes is block allocation (allocate all available CPUs in a node before using another node), which implies that cons_tres provides cores.""
    },
    {
      ""subject"": ""cons_tres"",
      ""predicate"": ""provision"",
      ""object"": ""logical CPUs"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text states that the choice of allocation methods may influence which specific CPUs are allocated to the job/step, which implies that cons_tres provides logical CPUs.""
    }
  ]
}"
20,doc_d9be,doc_d9be_chunk_0010,allocated CPUs,uses_resource,--oversubscribe,usage,"The text explains that the --oversubscribe option is used to allocate more tasks than the available CPUs, implying that it uses the allocated CPUs as a resource.","{
  ""relations"": [
    {
      ""subject"": ""allocated CPUs"",
      ""predicate"": ""uses_resource"",
      ""object"": ""--oversubscribe"",
      ""relation_type"": ""usage"",
      ""justification"": ""The text explains that the --oversubscribe option is used to allocate more tasks than the available CPUs, implying that it uses the allocated CPUs as a resource.""
    }
  ]
}"
21,doc_d9be,doc_d9be_chunk_0011,CPU id,part_of,socket id,part_of,The text mentions that each CPU id is part of a socket id.,"{
  ""relations"": [
    {
      ""subject"": ""CPU id"",
      ""predicate"": ""part_of"",
      ""object"": ""socket id"",
      ""relation_type"": ""part_of"",
      ""justification"": ""The text mentions that each CPU id is part of a socket id.""
    },
    {
      ""subject"": ""socket binding"",
      ""predicate"": ""provides_configuration_to"",
      ""object"": ""tasks"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text states that socket binding is used to allocate tasks to specific sockets.""
    }
  ]
}"
