id,src_rowid,child,parent,method,src_confidence,src_evidence,llm_child_is_class,llm_parent_is_class,llm_is_a_valid,llm_accept,llm_best_parent,llm_confidence,llm_reason,llm_evidence_sentence,candidates_json,evidence_json,raw_llm_json,created_at
11,11,access lsf environment,environment,seed,0.0,head_match,1,1,1,1,environment,1.0,accessing an LSF environment is an action performed within an environment context.,,"[""environment"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""environment"",
""confidence"": 1.0,
""reason"": ""accessing an LSF environment is an action performed within an environment context."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
12,12,access lsf environment,lsf environment,seed,0.0,head_match,1,1,1,1,lsf environment,1.0,The child term 'access lsf environment' is a valid IS-A relation with the proposed parent term 'lsf environment'.,,"[""lsf environment"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""lsf environment"",
""confidence"": 1.0,
""reason"": ""The child term 'access lsf environment' is a valid IS-A relation with the proposed parent term 'lsf environment'.""
}",2026-01-29T23:21:45Z
13,13,access resource,resource,seed,0.0,head_match,1,1,1,1,resource,1.0,"The child term 'access resource' is a description of an action related to a resource, and the proposed parent 'resource' is a suitable and accurate parent term.","Any application that runs on Microsoft Azure must be registered as an Azure application, and set roles to access resources such as images and networks. Create an Azure authentication file to grant access to the LSF resource connector Azure plug-in, and register the application as an Azure application.","[""resource"", ""job"", ""host"", ""cluster"", ""queue"", ""group"", ""section"", ""policy"", ""none""]","[""Any application that runs on Microsoft Azure must be registered as an Azure application, and set roles to access resources such as images and\nnetworks. Create an Azure authentication ﬁle to grant access to the LSF resource connector Azure plug-in, and register the application as an\nAzure application.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""resource"",
""confidence"": 1.0,
""reason"": ""The child term 'access resource' is a description of an action related to a resource, and the proposed parent 'resource' is a suitable and accurate parent term."",
""evidence_sentence"": ""Any application that runs on Microsoft Azure must be registered as an Azure application, and set roles to access resources such as images and networks. Create an Azure authentication file to grant access to the LSF resource connector Azure plug-in, and register the application as an Azure application.""
}",2026-01-29T23:21:45Z
14,14,accessibility feature,feature,seed,0.0,head_match,1,1,1,1,feature,1.0,accessibility feature is a type of feature.,"To take advantage of accessibility features, use the latest release of your screen reader and the latest web browser that is supported by LSF.","[""feature"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""To take advantage of accessibility features, use the latest release of your screen reader and the latest web browser that is supported by LSF."", ""The accessibility features of IBM Knowledge Center are described in the Accessibility section of the IBM Knowledge Center release notes.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""feature"",
""confidence"": 1.0,
""reason"": ""accessibility feature is a type of feature."",
""evidence_sentence"": ""To take advantage of accessibility features, use the latest release of your screen reader and the latest web browser that is supported by LSF.""
}",2026-01-29T23:21:45Z
15,15,accessibility feature lsf,feature lsf,seed,0.0,head_match,1,1,1,1,feature lsf,1.0,"accessibility feature is a type of feature, and LSF is a type of feature; therefore, accessibility feature IS-A feature LSF.",,"[""feature lsf"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""feature lsf"",
""confidence"": 1.0,
""reason"": ""accessibility feature is a type of feature, and LSF is a type of feature; therefore, accessibility feature IS-A feature LSF.""
}",2026-01-29T23:21:45Z
16,16,accessible execution host,host,seed,0.0,head_match,1,1,1,1,host,1.0,An accessible execution host is a type of host in HPC context.,,"[""host"", ""job"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""host"",
""confidence"": 1.0,
""reason"": ""An accessible execution host is a type of host in HPC context."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
17,17,accessible execution host,execution host,seed,0.0,head_match,1,1,1,1,execution host,1.0,An accessible execution host is a type of execution host.,,"[""execution host"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""execution host"",
""confidence"": 1.0,
""reason"": ""An accessible execution host is a type of execution host."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
18,18,accessible host,host,seed,0.0,head_match,1,1,1,1,host,1.0,An accessible host is a type of host.,,"[""host"", ""job"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""host"",
""confidence"": 1.0,
""reason"": ""An accessible host is a type of host."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
19,19,accessible host cluster,cluster,seed,0.0,head_match,1,1,1,1,cluster,1.0,An accessible host cluster is a type of cluster.,,"[""cluster"", ""job"", ""host"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""cluster"",
""confidence"": 1.0,
""reason"": ""An accessible host cluster is a type of cluster."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
20,20,accessible host cluster,host cluster,seed,0.0,head_match,1,1,1,1,host cluster,1.0,An accessible host cluster is a type of host cluster.,,"[""host cluster"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""host cluster"",
""confidence"": 1.0,
""reason"": ""An accessible host cluster is a type of host cluster."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
21,21,accessible local cluster,cluster,seed,0.0,head_match,1,1,1,1,cluster,1.0,An accessible local cluster is a type of cluster.,,"[""cluster"", ""job"", ""host"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""cluster"",
""confidence"": 1.0,
""reason"": ""An accessible local cluster is a type of cluster."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
22,22,accessible local cluster,local cluster,seed,0.0,head_match,1,1,1,1,local cluster,1.0,An 'accessible local cluster' is a type of 'local cluster',,"[""local cluster"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""local cluster"",
""confidence"": 1.0,
""reason"": ""An 'accessible local cluster' is a type of 'local cluster'"",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
23,23,account resource,resource,seed,0.0,head_match,1,1,1,1,resource,0.95,"The term 'account resource' is a type of resource, so the is-a relation is valid.",Account resources are a type of resource.,"[""resource"", ""job"", ""host"", ""cluster"", ""queue"", ""group"", ""section"", ""policy"", ""none""]","[""Account resources\n> Resource groups (https://cloud.ibm.com/account/resource-groups)."", ""$logfile\n # Support rc_account resource to enable RC_ACCOUNT policy\n # Add additional local resources if needed\n if [ -n \""${rc_account}\"" ]; then\n sed -i \""s/\\(LSF_LOCAL_RESOURCES=.*\\)\\\""/\\1 [resourcemap ${rc_account}*rc_account]\\\""/\"" $LSF_CONF_FILE\n echo \""update LSF_LOCAL_RESOURCES lsf.conf successfully, add [resourcemap ${rc_account}*rc_account]\"" >>\n$logfile\n fi\n # Start LSF Daemons\n $LSF_SERVERDIR/lsf_daemons start\n echo END AT `date '""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""resource"",
""confidence"": 0.95,
""reason"": ""The term 'account resource' is a type of resource, so the is-a relation is valid."",
""evidence_sentence"": ""Account resources are a type of resource.""
}",2026-01-29T23:21:45Z
24,24,account user1 cluster,cluster,seed,0.0,head_match,1,1,1,1,cluster,1.0,"An account can be associated with a cluster, so 'cluster' is a valid parent.",,"[""cluster"", ""job"", ""host"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""cluster"",
""confidence"": 1.0,
""reason"": ""An account can be associated with a cluster, so 'cluster' is a valid parent."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
25,25,accounting entry task,task,seed,0.0,head_match,1,1,1,1,task,1.0,An accounting entry is a type of task in HPC scheduling.,,"[""task"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""task"",
""confidence"": 1.0,
""reason"": ""An accounting entry is a type of task in HPC scheduling."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
26,26,accounting information task,task,seed,0.0,head_match,1,1,1,1,task,1.0,An accounting information task is a type of task.,,"[""task"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""task"",
""confidence"": 1.0,
""reason"": ""An accounting information task is a type of task."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
27,27,accounting job event,event,seed,0.0,head_match,1,1,1,1,event,1.0,An accounting job event is a type of event.,,"[""event"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""event"",
""confidence"": 1.0,
""reason"": ""An accounting job event is a type of event."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
28,28,action definition,definition,seed,0.0,head_match,1,1,1,1,definition,1.0,An action definition is a type of definition.,,"[""definition"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""definition"",
""confidence"": 1.0,
""reason"": ""An action definition is a type of definition."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
29,29,action job,job,seed,0.0,head_match,1,1,1,1,job,1.0,The given child term 'action job' is a type of job.,"Submitting an interactive job by using a pseudo-terminal
About this task
Submission of interaction jobs using pseudo-terminal is not supported for Windows for either lsrun or bsub LSF commands.
Running a task on a speciﬁc host
Procedure
If you want to run your task on a particular host, use the lsrun -m option:
lsrun -m hostD mytask","[""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]","[""Submitting an interactive job by using a pseudo-terminal\nAbout this task\nSubmission of interaction jobs using pseudo-terminal is not supported for Windows for either lsrun or bsub LSF commands."", ""Running a task on a speciﬁc host\nProcedure\nIf you want to run your task on a particular host, use the lsrun -m option:\nlsrun -m hostD mytask\nRunning a task by using a pseudo-terminal\nAbout this task\nSubmission of interaction jobs using pseudo-terminal is not supported for Windows for either lsrun or bsub LSF commands.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job"",
""confidence"": 1.0,
""reason"": ""The given child term 'action job' is a type of job."",
""evidence_sentence"": ""Submitting an interactive job by using a pseudo-terminal\nAbout this task\nSubmission of interaction jobs using pseudo-terminal is not supported for Windows for either lsrun or bsub LSF commands.\nRunning a task on a speciﬁc host\nProcedure\nIf you want to run your task on a particular host, use the lsrun -m option:\nlsrun -m hostD mytask""
}",2026-01-29T23:21:45Z
30,30,action object keyword,keyword,seed,0.0,head_match,1,1,1,1,keyword,1.0,"Both child and proposed parent are keywords, so the is-a relation is valid.",,"[""keyword"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""keyword"",
""confidence"": 1.0,
""reason"": ""Both child and proposed parent are keywords, so the is-a relation is valid.""
}",2026-01-29T23:21:45Z
31,31,active event log,event log,seed,0.0,head_match,1,1,1,1,event log,1.0,"The child term 'active event log' is a type of 'event log', as indicated in the evidence.",View history of jobs not listed in active event log,"[""event log"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""Monitor SLA progress\n View job output\n View chronological history of jobs\n View history of jobs not listed in active event log\n View job history\n View the job submission environment\n Use the bjobs -env command option to view a job's environment variables or the bjobs -script command option to view the job script ﬁle."", ""Job <1578> exited;\nWed Oct 22 14:17:04 2009: Job <1575> done successfully;\nView history of jobs not listed in active event log\nAbout this task\nLSF periodically backs up and prunes the job history log. By default, bhist only displays job history from the current event log ﬁle.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""event log"",
""confidence"": 1.0,
""reason"": ""The child term 'active event log' is a type of 'event log', as indicated in the evidence."",
""evidence_sentence"": ""View history of jobs not listed in active event log""
}",2026-01-29T23:21:45Z
32,32,active job,job,seed,0.0,head_match,1,1,1,1,job,1.0,An 'active job' is a type of 'job' in HPC scheduling.,"priorities, job arrays, interactive jobs, job pre-execution and post-execution, and job starters.","[""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]","[""priorities, job arrays, interactive jobs, job pre-execution and post-execution, and job starters."", ""Load indices that affect LIM performance\nLoad index Description\nr15s 15-second CPU run queue length\nr1m 1-minute CPU run queue length\nr15m 15-minute CPU run queue length\npg Paging rate in pages per second\nswp Available swap space\nit Interactive idle time\nls Number of users logged in\nCompare LIM load thresholds\n LIM reports a host as busy\n Interactive jobs\n Multiprocessor systems\n On multiprocessor systems, CPU run queue lengths (r15s, r1m, r15m) are compared to the effective run queue lengths as displayed by the\nlsload -E command.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job"",
""confidence"": 1.0,
""reason"": ""An 'active job' is a type of 'job' in HPC scheduling."",
""evidence_sentence"": ""priorities, job arrays, interactive jobs, job pre-execution and post-execution, and job starters.""
}",2026-01-29T23:21:45Z
33,33,active process job,job,seed,0.0,head_match,1,1,1,1,job,1.0,An active process job is a type of job.,,"[""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job"",
""confidence"": 1.0,
""reason"": ""An active process job is a type of job."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
34,34,active project,project,seed,0.0,head_match,1,1,1,1,project,1.0,"An active project is a type of project, so the is-a relation is valid.",Lists the active projects that are managed by LSF License Scheduler.,"[""project"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""Lists the active projects that are managed by LSF License Scheduler."", ""Conﬁgure active ownership\n When active ownership is enabled, ownership settings for inactive projects are disregarded during license token distribution.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""project"",
""confidence"": 1.0,
""reason"": ""An active project is a type of project, so the is-a relation is valid."",
""evidence_sentence"": ""Lists the active projects that are managed by LSF License Scheduler.""
}",2026-01-29T23:21:45Z
35,35,active reservation,reservation,seed,0.0,head_match,1,1,1,1,reservation,1.0,An active reservation is a type of reservation.,,"[""reservation"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""You cannot modify the start time of an active reservation."", ""Restriction: You cannot modify the begin time of an active reservation.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""reservation"",
""confidence"": 1.0,
""reason"": ""An active reservation is a type of reservation."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
36,36,activity queue,queue,seed,0.0,head_match,1,1,1,1,queue,1.0,An activity queue is a type of queue in HPC systems.,,"[""queue"", ""job"", ""host"", ""cluster"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""queue"",
""confidence"": 1.0,
""reason"": ""An activity queue is a type of queue in HPC systems."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
37,37,add ldap provider,provider,seed,0.0,head_match,1,1,1,1,provider,1.0,"add ldap provider is an action to configure a provider, so provider is the correct parent.",,"[""provider"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""Add Ldap providers."", ""Add Ldap providers.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""provider"",
""confidence"": 1.0,
""reason"": ""add ldap provider is an action to configure a provider, so provider is the correct parent."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
38,38,addition default field,field,seed,0.0,head_match,1,1,1,1,field,1.0,An 'addition default field' is a type of 'field',,"[""field"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""field"",
""confidence"": 1.0,
""reason"": ""An 'addition default field' is a type of 'field'"",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
39,39,addition installer,installer,seed,0.0,head_match,1,1,1,1,installer,1.0,An 'addition installer' is a type of 'installer',,"[""installer"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""installer"",
""confidence"": 1.0,
""reason"": ""An 'addition installer' is a type of 'installer'"",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
40,40,addition job,job,seed,0.0,head_match,1,1,1,1,job,1.0,An 'addition job' is a type of 'job' in HPC contexts.,,"[""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job"",
""confidence"": 1.0,
""reason"": ""An 'addition job' is a type of 'job' in HPC contexts.""
}",2026-01-29T23:21:45Z
41,41,addition lsf cluster,cluster,seed,0.0,head_match,1,1,1,1,cluster,1.0,"addition lsf cluster is a type of cluster, so the is-a relation is valid.",,"[""cluster"", ""job"", ""host"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""cluster"",
""confidence"": 1.0,
""reason"": ""addition lsf cluster is a type of cluster, so the is-a relation is valid."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
42,42,addition lsf cluster,lsf cluster,seed,0.0,head_match,1,1,1,1,lsf cluster,1.0,"The child term 'addition lsf cluster' is a type of 'lsf cluster', so the is-a relation is valid.",,"[""lsf cluster"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""lsf cluster"",
""confidence"": 1.0,
""reason"": ""The child term 'addition lsf cluster' is a type of 'lsf cluster', so the is-a relation is valid."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
43,43,addition transfer job,job,seed,0.0,head_match,1,1,1,1,job,1.0,An 'addition transfer job' is a type of job in HPC schedulers.,,"[""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job"",
""confidence"": 1.0,
""reason"": ""An 'addition transfer job' is a type of job in HPC schedulers."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
44,44,addition transfer job,transfer job,seed,0.0,head_match,1,1,1,1,transfer job,1.0,addition transfer job is a type of transfer job,,"[""transfer job"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""transfer job"",
""confidence"": 1.0,
""reason"": ""addition transfer job is a type of transfer job"",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
